Loan,Pool,Servicer
3000582217,pool_10,Two Harbors
3000582469,pool_10,Two Harbors
3000582767,pool_10,Two Harbors
3000583289,pool_10,Two Harbors
3000584055,pool_10,Two Harbors
3000584392,pool_10,Two Harbors
3000584843,pool_10,Two Harbors
3000584990,pool_10,Two Harbors
3000585074,pool_10,Two Harbors
3000585459,pool_10,Two Harbors
3000585624,pool_10,Two Harbors
3000585983,pool_10,Two Harbors
3000586689,pool_10,Two Harbors
3000588122,pool_10,Two Harbors
3000588218,pool_10,Two Harbors
3000588660,pool_10,Two Harbors
3000589202,pool_10,Two Harbors
3000589304,pool_10,Two Harbors
3000589443,pool_10,Two Harbors
3000589957,pool_10,Two Harbors
3000590221,pool_10,Two Harbors
3000590926,pool_10,Two Harbors
3000591701,pool_10,Two Harbors
3000591822,pool_10,Two Harbors
3000591832,pool_10,Two Harbors
3000591993,pool_10,Two Harbors
3000592176,pool_10,Two Harbors
3000593179,pool_10,Two Harbors
3000593211,pool_10,Two Harbors
3000593399,pool_10,Two Harbors
3000593702,pool_10,Two Harbors
3000594173,pool_10,Two Harbors
3000594252,pool_10,Two Harbors
3000594940,pool_10,Two Harbors
3000595614,pool_10,Two Harbors
3000595914,pool_10,Two Harbors
3000595954,pool_10,Two Harbors
3000596152,pool_10,Two Harbors
3000596193,pool_10,Two Harbors
3000596366,pool_10,Two Harbors
3000596765,pool_10,Two Harbors
3000597147,pool_10,Two Harbors
3000597457,pool_10,Two Harbors
3000597486,pool_10,Two Harbors
3000597488,pool_10,Two Harbors
3000597497,pool_10,Two Harbors
3000597631,pool_10,Two Harbors
3000597851,pool_10,Two Harbors
3000597857,pool_10,Two Harbors
3000599236,pool_10,Two Harbors
3000599924,pool_10,Two Harbors
3000600142,pool_10,Two Harbors
3000600427,pool_10,Two Harbors
3000600708,pool_10,Two Harbors
3000602006,pool_10,Two Harbors
3000602066,pool_10,Two Harbors
3000602297,pool_10,Two Harbors
3000602895,pool_10,Two Harbors
3000602976,pool_10,Two Harbors
3000603008,pool_10,Two Harbors
3000605977,pool_10,Two Harbors
3200054781,pool_10,Two Harbors
3200054973,pool_10,Two Harbors
3200055135,pool_10,Two Harbors
3200055280,pool_10,Two Harbors
3200055763,pool_10,Two Harbors
3200056221,pool_10,Two Harbors
3200056434,pool_10,Two Harbors
3200057549,pool_10,Two Harbors
3200057953,pool_10,Two Harbors
3200058216,pool_10,Two Harbors
3200058431,pool_10,Two Harbors
3200058463,pool_10,Two Harbors
3200059182,pool_10,Two Harbors
3200059254,pool_10,Two Harbors
3200059624,pool_10,Two Harbors
3200060218,pool_10,Two Harbors
3200060524,pool_10,Two Harbors
3200060869,pool_10,Two Harbors
3200061130,pool_10,Two Harbors
3200061845,pool_10,Two Harbors
3200062587,pool_10,Two Harbors
3200063391,pool_10,Two Harbors
3200063458,pool_10,Two Harbors
3200064307,pool_10,Two Harbors
3200064628,pool_10,Two Harbors
3200065048,pool_10,Two Harbors
3600004295,pool_10,Two Harbors
3600004299,pool_10,Two Harbors
3700002098,pool_10,Two Harbors
3700002309,pool_10,Two Harbors
3700002389,pool_10,Two Harbors
3800028046,pool_10,Two Harbors
3800028373,pool_10,Two Harbors
3800031200,pool_10,Two Harbors
3800035274,pool_10,Two Harbors
600138179,pool_10,Two Harbors
600139202,pool_10,Two Harbors
600139718,pool_10,Two Harbors
600142047,pool_10,Two Harbors
600143212,pool_10,Two Harbors
600143369,pool_10,Two Harbors
600143469,pool_10,Two Harbors
600144278,pool_10,Two Harbors
600144712,pool_10,Two Harbors
600144797,pool_10,Two Harbors
600145255,pool_10,Two Harbors
600145377,pool_10,Two Harbors
600145476,pool_10,Two Harbors
600145631,pool_10,Two Harbors
600145633,pool_10,Two Harbors
600145793,pool_10,Two Harbors
600145865,pool_10,Two Harbors
600145921,pool_10,Two Harbors
600146112,pool_10,Two Harbors
600146249,pool_10,Two Harbors
600146253,pool_10,Two Harbors
600146322,pool_10,Two Harbors
600146360,pool_10,Two Harbors
600146632,pool_10,Two Harbors
600146633,pool_10,Two Harbors
600147139,pool_10,Two Harbors
600147494,pool_10,Two Harbors
103411781,pool_11,Pingora
103412918,pool_11,Pingora
103432033,pool_11,Pingora
103443147,pool_11,Pingora
103444094,pool_11,Pingora
103457482,pool_11,Pingora
103457667,pool_11,Pingora
103457998,pool_11,Pingora
103458033,pool_11,Pingora
103460138,pool_11,Pingora
103461933,pool_11,Pingora
103462847,pool_11,Pingora
103464240,pool_11,Pingora
103466234,pool_11,Pingora
103466735,pool_11,Pingora
103468592,pool_11,Pingora
103469432,pool_11,Pingora
103472575,pool_11,Pingora
103473391,pool_11,Pingora
103473906,pool_11,Pingora
103475235,pool_11,Pingora
103478788,pool_11,Pingora
103480180,pool_11,Pingora
103486385,pool_11,Pingora
103488016,pool_11,Pingora
103488392,pool_11,Pingora
103497045,pool_11,Pingora
103497885,pool_11,Pingora
103498033,pool_11,Pingora
103501762,pool_11,Pingora
103503954,pool_11,Pingora
103518348,pool_11,Pingora
3000475601,pool_11,Pingora
3000512691,pool_11,Pingora
3000519514,pool_11,Pingora
3000569879,pool_11,Pingora
3000571237,pool_11,Pingora
3000574788,pool_11,Pingora
3000579837,pool_11,Pingora
3000580463,pool_11,Pingora
3000588262,pool_11,Pingora
3000591409,pool_11,Pingora
3000591663,pool_11,Pingora
3000593241,pool_11,Pingora
3000596731,pool_11,Pingora
3000600297,pool_11,Pingora
3000603053,pool_11,Pingora
3200063746,pool_11,Pingora
3800032707,pool_11,Pingora
600142667,pool_11,Pingora
600143692,pool_11,Pingora
600144324,pool_11,Pingora
600145094,pool_11,Pingora
103467883,pool_113,Retained
103492384,pool_113,Retained
103494251,pool_113,Retained
3000580292,pool_113,Retained
600142243,pool_113,Retained
103408926,pool_116,Retained
103446642,pool_116,Retained
103457542,pool_116,Retained
103458081,pool_116,Retained
103483101,pool_116,Retained
103484699,pool_116,Retained
103486433,pool_116,Retained
103486676,pool_116,Retained
103493454,pool_116,Retained
103501420,pool_116,Retained
3000475635,pool_116,Retained
3000559404,pool_116,Retained
3000560076,pool_116,Retained
3000600102,pool_116,Retained
3000601338,pool_116,Retained
3800033467,pool_116,Retained
600132383,pool_116,Retained
600139104,pool_116,Retained
600144692,pool_116,Retained
103408023,pool_119,Retained
103464258,pool_119,Retained
103465140,pool_119,Retained
103494759,pool_119,Retained
3000181967,pool_119,Retained
3000526293,pool_119,Retained
3000540141,pool_119,Retained
3000557767,pool_119,Retained
3000578547,pool_119,Retained
3000585333,pool_119,Retained
3000590400,pool_119,Retained
3000599094,pool_119,Retained
3000602327,pool_119,Retained
600129926,pool_119,Retained
600135425,pool_119,Retained
600136899,pool_119,Retained
600142695,pool_119,Retained
600142697,pool_119,Retained
600144970,pool_119,Retained
103379882,pool_126,Pingora
103411620,pool_126,Pingora
103414203,pool_126,Pingora
103418685,pool_126,Pingora
103420768,pool_126,Pingora
103427889,pool_126,Pingora
103429157,pool_126,Pingora
103468052,pool_126,Pingora
103477892,pool_126,Pingora
103501763,pool_126,Pingora
3000538865,pool_126,Pingora
3200058459,pool_126,Pingora
600146548,pool_126,Pingora
103453198,pool_129,Retained
103459345,pool_129,Retained
103462475,pool_129,Retained
103463167,pool_129,Retained
103469757,pool_129,Retained
103491258,pool_129,Retained
103500035,pool_129,Retained
3000225522,pool_129,Retained
3000549346,pool_129,Retained
3000575300,pool_129,Retained
3000589355,pool_129,Retained
3000591184,pool_129,Retained
3000601406,pool_129,Retained
600137263,pool_129,Retained
103394752,pool_13,Retained
103409652,pool_13,Retained
103436034,pool_13,Retained
103438866,pool_13,Retained
103441612,pool_13,Retained
103450577,pool_13,Retained
103452198,pool_13,Retained
103455119,pool_13,Retained
103455186,pool_13,Retained
103456179,pool_13,Retained
103463736,pool_13,Retained
103465364,pool_13,Retained
103470879,pool_13,Retained
103472335,pool_13,Retained
103474691,pool_13,Retained
103476822,pool_13,Retained
103482373,pool_13,Retained
103486784,pool_13,Retained
3000511049,pool_13,Retained
3000531725,pool_13,Retained
3000545413,pool_13,Retained
3000545835,pool_13,Retained
3000549940,pool_13,Retained
3000570218,pool_13,Retained
3000573450,pool_13,Retained
3000574697,pool_13,Retained
3000575136,pool_13,Retained
3000585695,pool_13,Retained
3000586791,pool_13,Retained
3000592844,pool_13,Retained
3000592868,pool_13,Retained
3000594626,pool_13,Retained
3000598040,pool_13,Retained
3000599041,pool_13,Retained
3000602716,pool_13,Retained
3000603366,pool_13,Retained
3200057656,pool_13,Retained
3200058666,pool_13,Retained
3200063730,pool_13,Retained
3200065197,pool_13,Retained
3800035753,pool_13,Retained
600136583,pool_13,Retained
600142031,pool_13,Retained
600142998,pool_13,Retained
600143459,pool_13,Retained
600144845,pool_13,Retained
600145042,pool_13,Retained
600146910,pool_13,Retained
600147612,pool_13,Retained
103421991,pool_14,Two Harbors
103465543,pool_14,Two Harbors
103471086,pool_14,Two Harbors
103475099,pool_14,Two Harbors
3000546821,pool_14,Two Harbors
3000558232,pool_14,Two Harbors
3000583177,pool_14,Two Harbors
3000589591,pool_14,Two Harbors
3000596791,pool_14,Two Harbors
3000607331,pool_14,Two Harbors
3200047102,pool_14,Two Harbors
3200057870,pool_14,Two Harbors
600144847,pool_14,Two Harbors
600145144,pool_14,Two Harbors
103409533,pool_142,Retained
103430210,pool_142,Retained
103471444,pool_142,Retained
103492468,pool_142,Retained
3000576789,pool_142,Retained
3000584269,pool_142,Retained
3000585017,pool_142,Retained
3000590834,pool_142,Retained
3000593792,pool_142,Retained
3000598795,pool_142,Retained
600140870,pool_142,Retained
600146868,pool_142,Retained
103465102,pool_145,Retained
103485074,pool_145,Retained
103498270,pool_145,Retained
103499793,pool_145,Retained
3000550244,pool_145,Retained
3000583150,pool_145,Retained
3000585900,pool_145,Retained
3000587351,pool_145,Retained
3000593331,pool_145,Retained
3000601334,pool_145,Retained
600139178,pool_145,Retained
600142301,pool_145,Retained
600145880,pool_145,Retained
600145883,pool_145,Retained
103389760,pool_152,Pingora
103430384,pool_152,Pingora
103431370,pool_152,Pingora
103456771,pool_152,Pingora
103473472,pool_152,Pingora
103481642,pool_152,Pingora
3000601399,pool_152,Pingora
600147572,pool_152,Pingora
600147905,pool_152,Pingora
103397273,pool_165,Pingora
103422728,pool_165,Pingora
103442782,pool_165,Pingora
103447127,pool_165,Pingora
103448949,pool_165,Pingora
103454733,pool_165,Pingora
103467910,pool_165,Pingora
103489841,pool_165,Pingora
3000567856,pool_165,Pingora
3000596353,pool_165,Pingora
3200064540,pool_165,Pingora
600143806,pool_165,Pingora
103503509,pool_168,Retained
3000575658,pool_168,Retained
3000594668,pool_168,Retained
3000596730,pool_168,Retained
3000601050,pool_168,Retained
600135579,pool_168,Retained
600145628,pool_168,Retained
103375385,pool_17,Retained
103382190,pool_17,Retained
103421876,pool_17,Retained
103442829,pool_17,Retained
103445266,pool_17,Retained
103462379,pool_17,Retained
103470396,pool_17,Retained
103471813,pool_17,Retained
103484057,pool_17,Retained
3000541611,pool_17,Retained
3000556188,pool_17,Retained
3000565728,pool_17,Retained
3000574763,pool_17,Retained
3000589348,pool_17,Retained
3800029529,pool_17,Retained
600142832,pool_17,Retained
600143207,pool_17,Retained
600143860,pool_17,Retained
600144380,pool_17,Retained
600144760,pool_17,Retained
600146269,pool_17,Retained
600146798,pool_17,Retained
600146827,pool_17,Retained
600146933,pool_17,Retained
103451198,pool_179,Retained
103459092,pool_179,Retained
103479443,pool_179,Retained
103485159,pool_179,Retained
103433499,pool_180,Two Harbors
103433694,pool_180,Two Harbors
103450538,pool_180,Two Harbors
103451073,pool_180,Two Harbors
103454390,pool_180,Two Harbors
103454854,pool_180,Two Harbors
103473075,pool_180,Two Harbors
103475977,pool_180,Two Harbors
103479509,pool_180,Two Harbors
103480601,pool_180,Two Harbors
103482984,pool_180,Two Harbors
103485922,pool_180,Two Harbors
103489259,pool_180,Two Harbors
103491619,pool_180,Two Harbors
103501731,pool_180,Two Harbors
103395621,pool_182,Retained
103424434,pool_182,Retained
103430102,pool_182,Retained
103431648,pool_182,Retained
103432765,pool_182,Retained
103435458,pool_182,Retained
103436757,pool_182,Retained
103445744,pool_182,Retained
103448784,pool_182,Retained
103451012,pool_182,Retained
103451686,pool_182,Retained
103451876,pool_182,Retained
103452093,pool_182,Retained
103452164,pool_182,Retained
103453480,pool_182,Retained
103454386,pool_182,Retained
103458634,pool_182,Retained
103459225,pool_182,Retained
103459945,pool_182,Retained
103462296,pool_182,Retained
103462984,pool_182,Retained
103464577,pool_182,Retained
103464945,pool_182,Retained
103465311,pool_182,Retained
103465900,pool_182,Retained
103466547,pool_182,Retained
103467042,pool_182,Retained
103467287,pool_182,Retained
103467399,pool_182,Retained
103467678,pool_182,Retained
103468423,pool_182,Retained
103468750,pool_182,Retained
103469240,pool_182,Retained
103469563,pool_182,Retained
103470179,pool_182,Retained
103472064,pool_182,Retained
103473309,pool_182,Retained
103474493,pool_182,Retained
103476172,pool_182,Retained
103476617,pool_182,Retained
103478723,pool_182,Retained
103479843,pool_182,Retained
103479989,pool_182,Retained
103483470,pool_182,Retained
103485632,pool_182,Retained
103486269,pool_182,Retained
103495578,pool_182,Retained
103502966,pool_182,Retained
3000253864,pool_182,Retained
3000305571,pool_182,Retained
3000549035,pool_182,Retained
3000552369,pool_182,Retained
3000566545,pool_182,Retained
3000582511,pool_182,Retained
3000591711,pool_182,Retained
3000598113,pool_182,Retained
3000600400,pool_182,Retained
3200056325,pool_182,Retained
600131408,pool_182,Retained
600139780,pool_182,Retained
600141983,pool_182,Retained
600143760,pool_182,Retained
600144242,pool_182,Retained
600144811,pool_182,Retained
600144939,pool_182,Retained
600146795,pool_182,Retained
103432930,pool_183,Two Harbors
103444429,pool_183,Two Harbors
103448117,pool_183,Two Harbors
103451138,pool_183,Two Harbors
103455206,pool_183,Two Harbors
103458038,pool_183,Two Harbors
103458280,pool_183,Two Harbors
103461387,pool_183,Two Harbors
103461663,pool_183,Two Harbors
103461758,pool_183,Two Harbors
103462619,pool_183,Two Harbors
103465812,pool_183,Two Harbors
103466066,pool_183,Two Harbors
103468293,pool_183,Two Harbors
103470014,pool_183,Two Harbors
103470303,pool_183,Two Harbors
103473098,pool_183,Two Harbors
103473205,pool_183,Two Harbors
103476290,pool_183,Two Harbors
103477808,pool_183,Two Harbors
103479816,pool_183,Two Harbors
103480350,pool_183,Two Harbors
103480849,pool_183,Two Harbors
103481139,pool_183,Two Harbors
103481173,pool_183,Two Harbors
103481746,pool_183,Two Harbors
103481822,pool_183,Two Harbors
103482828,pool_183,Two Harbors
103483874,pool_183,Two Harbors
103486950,pool_183,Two Harbors
103488189,pool_183,Two Harbors
103488574,pool_183,Two Harbors
103489981,pool_183,Two Harbors
103490005,pool_183,Two Harbors
3000539825,pool_183,Two Harbors
3000566788,pool_183,Two Harbors
3000574644,pool_183,Two Harbors
3000592259,pool_183,Two Harbors
3000595095,pool_183,Two Harbors
3000599994,pool_183,Two Harbors
600144728,pool_183,Two Harbors
600145657,pool_183,Two Harbors
103409816,pool_185,Retained
103421038,pool_185,Retained
103421508,pool_185,Retained
103427701,pool_185,Retained
103430997,pool_185,Retained
103441799,pool_185,Retained
103448425,pool_185,Retained
103449725,pool_185,Retained
103450595,pool_185,Retained
103451345,pool_185,Retained
103478577,pool_185,Retained
103479649,pool_185,Retained
103496215,pool_185,Retained
3000558756,pool_185,Retained
3000558860,pool_185,Retained
3000560505,pool_185,Retained
3000564204,pool_185,Retained
3000580181,pool_185,Retained
3000596917,pool_185,Retained
600144275,pool_185,Retained
600144586,pool_185,Retained
600144623,pool_185,Retained
600145877,pool_185,Retained
600146606,pool_185,Retained
3000558446,pool_19,Pingora
103437146,pool_2,Retained
103441499,pool_2,Retained
103451417,pool_2,Retained
103453649,pool_2,Retained
103455262,pool_2,Retained
103457291,pool_2,Retained
103461082,pool_2,Retained
103462188,pool_2,Retained
103467909,pool_2,Retained
103468803,pool_2,Retained
103471083,pool_2,Retained
103471104,pool_2,Retained
103472815,pool_2,Retained
103473319,pool_2,Retained
103474417,pool_2,Retained
103478981,pool_2,Retained
103487829,pool_2,Retained
103490864,pool_2,Retained
103491245,pool_2,Retained
103492395,pool_2,Retained
103503033,pool_2,Retained
3000575127,pool_2,Retained
3000584809,pool_2,Retained
3200058914,pool_2,Retained
600138242,pool_2,Retained
600141307,pool_2,Retained
103442632,pool_210,Retained
3000563826,pool_210,Retained
3000599420,pool_210,Retained
600131725,pool_210,Retained
600131863,pool_210,Retained
600132659,pool_210,Retained
600136854,pool_210,Retained
600136888,pool_210,Retained
600138701,pool_210,Retained
600142184,pool_210,Retained
600144373,pool_210,Retained
600144618,pool_210,Retained
600145150,pool_210,Retained
600145318,pool_210,Retained
600145408,pool_210,Retained
600145993,pool_210,Retained
103396931,pool_212,Pingora
103446994,pool_212,Pingora
103480729,pool_212,Pingora
103486105,pool_212,Pingora
3000578197,pool_212,Pingora
3000578613,pool_212,Pingora
3000582206,pool_212,Pingora
3000602872,pool_212,Pingora
3200061340,pool_212,Pingora
600134838,pool_212,Pingora
600142158,pool_212,Pingora
600142909,pool_212,Pingora
600145506,pool_212,Pingora
600145567,pool_212,Pingora
600145864,pool_212,Pingora
103409503,pool_213,Retained
103464893,pool_213,Retained
103484076,pool_213,Retained
3000534175,pool_213,Retained
3200061826,pool_213,Retained
600131796,pool_213,Retained
600135683,pool_213,Retained
600140243,pool_213,Retained
600140394,pool_213,Retained
600144122,pool_213,Retained
600144793,pool_213,Retained
600145098,pool_213,Retained
600145133,pool_213,Retained
600145870,pool_213,Retained
600146201,pool_213,Retained
600146780,pool_213,Retained
600147261,pool_213,Retained
103456535,pool_218,Pingora
3000559364,pool_218,Pingora
3000579881,pool_218,Pingora
3000592076,pool_218,Pingora
3000601174,pool_218,Pingora
600144232,pool_218,Pingora
103404032,pool_22,Pingora
103408815,pool_22,Pingora
103447644,pool_22,Pingora
103453543,pool_22,Pingora
103458330,pool_22,Pingora
103468619,pool_22,Pingora
103469331,pool_22,Pingora
103470737,pool_22,Pingora
103473333,pool_22,Pingora
103474564,pool_22,Pingora
3000383639,pool_22,Pingora
3000581436,pool_22,Pingora
3000585601,pool_22,Pingora
3000585862,pool_22,Pingora
3000594449,pool_22,Pingora
600128177,pool_22,Pingora
600142652,pool_22,Pingora
600143368,pool_22,Pingora
600143629,pool_22,Pingora
600144199,pool_22,Pingora
600147677,pool_22,Pingora
103402413,pool_223,Retained
103403998,pool_223,Retained
103442495,pool_223,Retained
103446894,pool_223,Retained
103463708,pool_223,Retained
103483441,pool_223,Retained
3000425824,pool_223,Retained
3000435426,pool_223,Retained
3000502902,pool_223,Retained
3000519350,pool_223,Retained
3000520944,pool_223,Retained
3000524085,pool_223,Retained
3000527167,pool_223,Retained
3000547795,pool_223,Retained
3000557454,pool_223,Retained
3000560793,pool_223,Retained
3000562682,pool_223,Retained
3000572153,pool_223,Retained
3000572344,pool_223,Retained
3000585474,pool_223,Retained
3000585808,pool_223,Retained
3000591129,pool_223,Retained
3000595258,pool_223,Retained
600131751,pool_223,Retained
600132941,pool_223,Retained
600133157,pool_223,Retained
600134474,pool_223,Retained
600134542,pool_223,Retained
600134831,pool_223,Retained
600136428,pool_223,Retained
600137035,pool_223,Retained
600138286,pool_223,Retained
600138622,pool_223,Retained
600139247,pool_223,Retained
600140049,pool_223,Retained
600140055,pool_223,Retained
600140796,pool_223,Retained
600141880,pool_223,Retained
600142494,pool_223,Retained
600142567,pool_223,Retained
600142656,pool_223,Retained
600143754,pool_223,Retained
600144062,pool_223,Retained
600144861,pool_223,Retained
600144880,pool_223,Retained
600145380,pool_223,Retained
600145480,pool_223,Retained
600145747,pool_223,Retained
600145910,pool_223,Retained
103419001,pool_225,Retained
103475621,pool_225,Retained
600131536,pool_225,Retained
600144894,pool_225,Retained
600145739,pool_225,Retained
103422713,pool_229,Retained
103424065,pool_229,Retained
103437512,pool_229,Retained
103441769,pool_229,Retained
103447900,pool_229,Retained
103448794,pool_229,Retained
103451887,pool_229,Retained
103454526,pool_229,Retained
3000569693,pool_229,Retained
600138780,pool_229,Retained
103396690,pool_230,Two Harbors
103431023,pool_230,Two Harbors
103435655,pool_230,Two Harbors
103439195,pool_230,Two Harbors
103445922,pool_230,Two Harbors
103448697,pool_230,Two Harbors
103455121,pool_230,Two Harbors
103461784,pool_230,Two Harbors
103464189,pool_230,Two Harbors
103471655,pool_230,Two Harbors
103474773,pool_230,Two Harbors
103475557,pool_230,Two Harbors
103476699,pool_230,Two Harbors
103488440,pool_230,Two Harbors
103491304,pool_230,Two Harbors
600140695,pool_230,Two Harbors
103382160,pool_232,Retained
103386126,pool_232,Retained
103397636,pool_232,Retained
103405231,pool_232,Retained
103413643,pool_232,Retained
103420744,pool_232,Retained
103421973,pool_232,Retained
103422166,pool_232,Retained
103428057,pool_232,Retained
103429085,pool_232,Retained
103429968,pool_232,Retained
103431297,pool_232,Retained
103431513,pool_232,Retained
103432569,pool_232,Retained
103433010,pool_232,Retained
103433015,pool_232,Retained
103435076,pool_232,Retained
103435358,pool_232,Retained
103436454,pool_232,Retained
103437246,pool_232,Retained
103439892,pool_232,Retained
103440504,pool_232,Retained
103441204,pool_232,Retained
103441277,pool_232,Retained
103442709,pool_232,Retained
103442955,pool_232,Retained
103443876,pool_232,Retained
103444190,pool_232,Retained
103444958,pool_232,Retained
103447272,pool_232,Retained
103448007,pool_232,Retained
103449129,pool_232,Retained
103449555,pool_232,Retained
103449871,pool_232,Retained
103450301,pool_232,Retained
103450981,pool_232,Retained
103451061,pool_232,Retained
103451385,pool_232,Retained
103451397,pool_232,Retained
103451637,pool_232,Retained
103451885,pool_232,Retained
103452300,pool_232,Retained
103452363,pool_232,Retained
103453608,pool_232,Retained
103453676,pool_232,Retained
103454491,pool_232,Retained
103454573,pool_232,Retained
103454704,pool_232,Retained
103454878,pool_232,Retained
103455573,pool_232,Retained
103457203,pool_232,Retained
103457558,pool_232,Retained
103457576,pool_232,Retained
103457797,pool_232,Retained
103458775,pool_232,Retained
103459209,pool_232,Retained
103459232,pool_232,Retained
103459239,pool_232,Retained
103459265,pool_232,Retained
103459651,pool_232,Retained
103460082,pool_232,Retained
103460416,pool_232,Retained
103460719,pool_232,Retained
103461308,pool_232,Retained
103462269,pool_232,Retained
103462981,pool_232,Retained
103463104,pool_232,Retained
103463651,pool_232,Retained
103464053,pool_232,Retained
103464668,pool_232,Retained
103464750,pool_232,Retained
103464771,pool_232,Retained
103464826,pool_232,Retained
103464884,pool_232,Retained
103466679,pool_232,Retained
103467863,pool_232,Retained
103469396,pool_232,Retained
103469802,pool_232,Retained
103469955,pool_232,Retained
103470914,pool_232,Retained
103471798,pool_232,Retained
103471914,pool_232,Retained
103472679,pool_232,Retained
103472783,pool_232,Retained
103473155,pool_232,Retained
103473620,pool_232,Retained
103473766,pool_232,Retained
103474799,pool_232,Retained
103474985,pool_232,Retained
103475390,pool_232,Retained
103475397,pool_232,Retained
103475496,pool_232,Retained
103475630,pool_232,Retained
103475637,pool_232,Retained
103476008,pool_232,Retained
103476630,pool_232,Retained
103477802,pool_232,Retained
103479820,pool_232,Retained
103481501,pool_232,Retained
103481717,pool_232,Retained
103482598,pool_232,Retained
103482730,pool_232,Retained
103483727,pool_232,Retained
103485879,pool_232,Retained
103486145,pool_232,Retained
103487182,pool_232,Retained
103487354,pool_232,Retained
103487661,pool_232,Retained
103490773,pool_232,Retained
103491039,pool_232,Retained
103491170,pool_232,Retained
103491399,pool_232,Retained
103492745,pool_232,Retained
103494469,pool_232,Retained
103495700,pool_232,Retained
