Pool,Loan,Price,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary
pool_1,103479456,361329.431365615,358000,753,15.914,0,0,0,1
pool_1,103480073,326243.907605754,324000,770,33.954,0,0,0,1
pool_1,103480250,323867.80889863,320000,780,43.588,0,0,0,1
pool_1,103480375,272109.570709041,272000,747,23.23,0,0,0,1
pool_1,103480495,233828.596596712,232000,763,47.137,0,0,0,1
pool_1,103480635,227911.305340274,228000,720,41.569,0,0,1,1
pool_1,103480963,346947.877715377,344500,707,35.161,0,0,0,1
pool_1,103481596,432164.18800767,432000,744,29.159,0,0,1,1
pool_1,103481883,224577.457418802,224500,774,37.2,0,0,1,1
pool_1,103482097,350438.212795069,348000,752,32.879,0,0,0,1
pool_1,103482161,345328.028521507,341500,749,43.327,0,0,0,1
pool_1,103482647,150985.936808218,150000,708,41.691,0,0,0,1
pool_1,103482714,416355.661014796,416000,776,47.662,0,0,1,1
pool_1,103483346,269418.132099658,267500,794,25.983,0,0,0,1
pool_1,103483354,351208.14382178,350500,762,29.94,0,0,1,1
pool_1,103483745,151037.435558218,150000,752,34.043,0,0,0,1
pool_1,103483908,258756.227229555,256500,727,33.829,0,0,0,1
pool_1,103484633,321026.651857533,320000,695,48.158,0,1,1,1
pool_1,103485022,282008.465375342,280000,803,33.828,0,1,0,1
pool_1,103485865,329515.677978082,330000,727,20.282,0,0,1,1
pool_1,103486276,260721.002230138,260000,759,36.659,0,0,1,1
pool_1,103486744,199610.449260274,200000,753,31.075,0,0,1,1
pool_1,103487111,460363.50368404,457000,799,35.26,0,1,0,1
pool_1,103487301,186844.04767737,185600,790,49.887,0,0,0,1
pool_1,103487775,325084.304989346,321608,748,47.637,0,0,0,1
pool_1,103487829,80093.7717041096,80000,805,26.93,0,0,0,1
pool_1,103488065,245798.79087411,244500,799,19.21,0,1,1,1
pool_1,103488091,384397.254350465,380800,770,17.758,0,0,0,1
pool_1,103488440,217296.45442674,222400,741,28.416,0,0,0,1
pool_1,103488486,99590.5212054794,100000,693,23.837,0,1,1,1
pool_1,103488561,235987.024920821,234000,804,26.568,0,0,0,1
pool_1,103488813,372795.018968043,369400,795,14.717,0,0,0,1
pool_1,103489582,202264.075561644,200000,785,33.461,0,0,0,1
pool_1,103490174,325009.302787673,325000,729,43.306,0,0,1,1
pool_1,103490680,348658.646792713,344600,780,32.787,0,0,0,1
pool_1,103490747,457492.434240937,454150,804,39.596,0,0,0,1
pool_1,103490864,184462.010119452,184000,757,49.134,0,1,0,1
pool_1,103491229,261814.980634246,260000,790,25.947,0,0,0,1
pool_1,103491245,359268.884726632,357800,787,23.972,0,0,0,1
pool_1,103491332,249795.157660931,249600,763,41.811,0,0,1,1
pool_1,103491385,240612.609918357,238000,794,26.135,0,0,0,1
pool_1,103491594,289997.899222109,288300,789,38.552,0,1,1,1
pool_1,103492395,199910.88888472,200001,695,40.863,0,0,1,1
pool_1,103492741,286991.398873206,284800,746,38.863,0,0,0,0
pool_1,103493220,201498.997410958,200000,705,23.742,0,0,0,1
pool_1,103493374,209656.135915069,210000,771,40.109,0,0,0,0
pool_1,103493500,300614.773890411,300000,757,24.38,0,0,1,1
pool_1,103494680,99559.2572030133,99000,722,33.773,0,0,0,1
pool_1,103494888,201629.682410958,200000,791,22.649,0,0,0,1
pool_1,103495106,193545.840539178,192000,815,28.303,0,0,0,1
pool_1,103497009,207905.952330052,206250,810,39.129,0,0,0,1
pool_1,103497103,245793.447313357,243750,756,28.003,0,0,0,1
pool_1,103497584,401924.908031288,399800,767,32.635,0,0,0,1
pool_1,103498954,245313.887645253,243700,708,41.554,0,0,0,1
pool_1,103499056,165564.542338356,165000,749,25.76,0,0,1,1
pool_1,103501058,304197.553790547,302000,724,31.432,0,0,0,1
pool_1,103502442,403634.007190002,401500,738,23.682,0,0,0,1
pool_1,103503033,159861.810185068,159500,807,30.45,0,0,0,1
pool_1,103504837,329653.376559506,326800,771,33.208,0,0,0,1
pool_1,3000564879,100623.199136986,100000,706,23.863,0,0,0,1
pool_1,3000575127,125669.949040548,125500,688,43.103,0,0,0,1
pool_1,3000582241,126011.897328768,125000,749,47.73,0,0,0,1
pool_1,3000584809,208766.14175132,207920,711,20.403,0,0,0,1
pool_1,3200058914,122794.928326296,124130,805,12.615,0,0,0,1
pool_1,3200062660,355909.725156656,353800,786,45.265,0,0,0,1
pool_1,3800032641,115629.775257534,115000,722,37.249,0,0,0,1
pool_1,600138242,206128.74867726,208000,827,44.048,0,0,0,1
pool_1,600139488,448105.460835617,450000,809,12.727,0,0,1,1
pool_1,600139632,487449.013076239,484350,676,43.701,0,0,0,1
pool_1,600141079,150127.490502281,149300,768,24.616,0,0,0,1
pool_1,600141307,275829.482732876,275000,775,26.952,0,0,0,1
pool_1,600143128,406450.784708081,403000,791,50.465,0,0,0,1
pool_1,600143948,294293.077705205,296000,783,42.525,0,0,1,1
pool_1,600144130,395590.620725479,392000,778,33.988,0,0,0,1
pool_1,600144439,306988.545697747,303421,627,21.982,0,0,0,1
pool_1,600144677,425126.093363945,421600,727,42.467,0,0,0,1
pool_1,600144713,438986.135243834,435000,785,30.372,0,0,0,1
pool_1,600144928,318998.116187398,316000,724,41.269,0,0,0,1
pool_1,600145417,320158.88089863,320000,702,35.065,0,0,1,1
pool_1,600145458,297546.537453424,295000,796,30.327,0,0,0,1
pool_1,600145492,373032.700411235,369000,793,21.453,0,0,0,1
pool_1,600145613,423848.165063014,420000,713,35.644,0,0,0,1
pool_1,600146210,365909.795200892,363000,788,24.001,0,0,0,1
pool_1,600146576,178195.180472055,177000,777,40.238,0,0,0,1
pool_1,600146905,222907.731078904,222000,775,26.646,0,0,0,0
pool_10,103337294,142523.133078714,138000,674,43.73,0,0,1,1
pool_10,103390162,197861.821857661,200001,783,29.051,0,0,0,1
pool_10,103391560,474536.654994516,480500,658,46.45,0,0,1,1
pool_10,103391895,406299.414656924,400000,766,44.897,0,0,1,1
pool_10,103392396,108922.667777555,106000,646,30.142,0,0,0,1
pool_10,103392707,252033.835852366,245000,787,35.799,0,0,1,1
pool_10,103395621,241663.20040095,236500,671,49.493,0,0,1,1
pool_10,103396931,400490.630098713,395000,771,28.57,0,0,1,0
pool_10,103397099,174693.096695593,169498,758,40.07,0,1,1,1
pool_10,103397626,330310.209835126,322000,752,26.25,0,1,1,1
pool_10,103399170,228409.756537019,226000,693,38.412,0,1,0,1
pool_10,103401284,126590.153168765,125103,779,38.486,0,0,0,1
pool_10,103401398,257085.481235949,254400,777,40.691,0,0,1,1
pool_10,103402455,480620.217058553,470000,663,40.24,0,0,1,1
pool_10,103402475,381263.820082733,370500,777,34.704,0,0,0,1
pool_10,103402686,161751.128649945,158400,704,36.902,0,0,1,1
pool_10,103403165,433912.059402812,423695,738,39.596,0,1,1,1
pool_10,103407768,176183.436530308,170200,782,49.306,0,0,0,1
pool_10,103408926,85649.9343270674,83100,683,36.032,0,0,0,1
pool_10,103409002,578288.03780755,581000,699,50.394,1,1,0,0
pool_10,103409533,134167.525753679,129400,753,43.135,0,0,0,1
pool_10,103411641,367073.067024227,360000,743,49.01,0,0,1,1
pool_10,103411781,467963.178118367,456000,672,41.569,0,0,0,1
pool_10,103412918,234587.382000519,228455,727,27.747,0,0,0,1
pool_10,103415935,223250.063314728,223000,742,23.743,0,0,0,1
pool_10,103416586,399889.253930067,403500,703,31.246,0,0,1,1
pool_10,103416770,589601.585551586,594100,691,48.497,1,1,1,1
pool_10,103417629,410616.228128366,417600,700,49.782,0,0,1,1
pool_10,103417902,322597.332465264,320000,762,37.984,0,0,1,1
pool_10,103418846,617727.619810352,617000,795,43.812,1,1,0,1
pool_10,103419317,200037.95575312,200000,725,45.091,0,1,1,1
pool_10,103419571,193654.479115168,193000,753,28.915,0,0,0,1
pool_10,103419765,122714.00216052,120000,667,40.239,0,1,1,1
pool_10,103419785,484810.360090262,484350,727,18.506,0,0,0,1
pool_10,103420804,179555.024168111,176250,798,23.763,0,0,1,1
pool_10,103421506,281159.553702016,278400,780,42.685,0,0,0,1
pool_10,103421508,149874.983862792,145000,700,49.574,0,0,1,1
pool_10,103421732,169520.993420835,165000,680,37.611,0,0,1,1
pool_10,103422272,282721.886711899,282000,794,41.052,0,0,0,1
pool_10,103422386,277655.831164012,281000,781,47.863,0,0,1,1
pool_10,103423137,387140.852790473,381000,695,28.571,0,0,0,1
pool_10,103423456,107776.496714566,105000,685,47.642,0,0,1,1
pool_10,103423917,324668.599871126,319000,779,33.099,0,0,0,1
pool_10,103424027,493363.428834878,484000,786,34.411,0,0,1,1
pool_10,103424320,304664.972865977,303000,775,40.692,0,0,0,1
pool_10,103424434,226949.145725732,224000,776,37.873,0,1,0,1
pool_10,103424716,286564.139270805,280000,720,29.437,0,0,1,1
pool_10,103425210,181682.369882527,178000,744,35.336,0,0,0,0
pool_10,103425481,439570.473162664,431900,775,6.255,0,0,0,1
pool_10,103425640,431671.04486235,435000,768,47.774,0,1,1,1
pool_10,103425788,274352.801194403,270500,743,39.711,0,0,1,1
pool_10,103425841,214779.32469334,215000,697,48.9,0,0,1,0
pool_10,103426139,308389.680787207,305000,771,25.878,0,0,0,1
pool_10,103426244,192316.228441315,189400,771,31.337,0,0,0,1
pool_10,103426469,428598.196528265,420000,773,48.69,0,0,1,1
pool_10,103426481,161561.432863701,159300,792,42.592,0,0,0,1
pool_10,103426797,256241.36970298,258000,785,50.409,0,0,1,0
pool_10,103427209,262872.665753027,260000,745,47.765,0,0,1,1
pool_10,103427238,423067.930559722,419000,723,29.321,0,0,0,1
pool_10,103427249,366839.619107476,360000,720,43.154,0,0,0,1
pool_10,103427308,368707.451252872,361000,794,22.825,0,0,0,1
pool_10,103427331,204069.411745786,202000,797,47.978,0,0,0,0
pool_10,103427567,327983.646081691,327000,747,44.932,0,0,1,1
pool_10,103428104,333412.884965932,332200,772,47,0,0,0,1
pool_10,103428417,529048.071686189,519419,740,20.602,1,1,0,1
pool_10,103428464,139126.12167408,139000,811,49.591,0,0,1,0
pool_10,103428520,234093.655098277,231800,808,36.457,0,1,0,1
pool_10,103428554,256290.057940762,256000,810,20.369,0,0,0,1
pool_10,103428961,183053.108013424,180000,738,40.673,0,0,1,1
pool_10,103429102,393673.020204879,393000,777,35.587,0,0,0,1
pool_10,103429505,253830.354143447,255000,770,28.211,0,0,0,1
pool_10,103429553,281384.441810206,280000,703,19.833,0,0,0,1
pool_10,103430032,347226.313629382,342600,798,19.895,0,0,0,1
pool_10,103430046,260634.685479056,260000,798,23.347,0,1,0,1
pool_10,103430210,132761.278997921,129700,719,33.171,0,0,0,1
pool_10,103430265,195478.823775709,191000,669,21.26,0,1,1,1
pool_10,103430326,333873.130828948,330700,796,28.319,0,0,0,0
pool_10,103430731,127322.772705289,125000,767,26.83,0,0,1,1
pool_10,103430828,274580.256640488,273406,809,39.283,0,1,0,1
pool_10,103430834,165943.498671021,162000,659,37.495,0,0,1,1
pool_10,103430989,347186.693704955,343000,801,47.798,0,0,0,1
pool_10,103431066,298779.044013257,289500,801,40.687,0,1,0,1
pool_10,103431488,240975.124672968,233900,773,29.059,0,0,0,1
pool_10,103431648,556709.112759739,548000,711,31.243,1,1,0,1
pool_10,103432033,216916.480498454,211388,708,37.543,0,0,0,1
pool_10,103432290,183509.90936479,182850,791,31.324,0,0,0,1
pool_10,103432395,552077.442636156,545000,752,45.965,1,0,0,1
pool_10,103432576,247298.727929656,239400,703,34.648,0,0,0,1
pool_10,103432765,187376.361556254,188000,708,44.666,0,0,1,1
pool_10,103432918,260267.500252336,260000,793,41.854,0,0,0,1
pool_10,103432930,321171.371917392,315000,763,43.62,0,0,0,0
pool_10,103433084,509878.381084837,510500,786,48.681,1,1,0,1
pool_10,103433094,251021.2485256,243000,769,22.365,0,0,1,1
pool_10,103433103,529796.912222484,527800,781,38.686,1,1,0,1
pool_10,103433164,151898.731397082,150000,739,40.893,0,1,1,1
pool_10,103433476,268793.42595165,265500,764,46.115,0,1,0,1
pool_10,103433499,201390.95575316,200000,775,16.542,0,0,0,1
pool_10,103433694,400232.874930976,400000,770,25.007,0,0,0,1
pool_10,103433722,153273.977629875,150300,790,27.528,0,0,0,1
pool_10,103433757,186547.302479167,187000,778,39.786,0,0,0,1
pool_10,103434116,407984.682177054,402000,776,34.19,0,1,1,1
pool_10,103434507,264137.669948233,261000,768,20.737,0,0,1,1
pool_10,103434609,251260.643966894,246400,761,36.737,0,0,0,1
pool_10,103434774,391130.970718582,390000,729,37.393,0,0,0,1
pool_10,103434818,377231.111141536,379000,710,42.991,0,1,0,1
pool_10,103434944,237541.836324978,239000,771,30.859,0,0,1,1
pool_10,103435202,401095.322300764,396000,796,12.898,0,0,0,1
pool_10,103435216,248652.652215378,247000,756,44.208,0,0,1,1
pool_10,103435271,496291.136547206,484000,755,28.717,0,0,1,0
pool_10,103435321,258807.351095505,253000,778,35.687,0,0,0,1
pool_10,103435403,248911.748794154,240000,761,30.54,0,0,0,0
pool_10,103435458,222399.048557888,218400,756,49.743,0,0,1,1
pool_10,103435521,391558.96253429,392000,721,44.001,0,0,0,1
pool_10,103435539,537697.265654414,525000,702,37.261,1,0,0,1
pool_10,103435638,332371.666500142,337000,703,43.83,0,0,1,1
pool_10,103435834,375568.115170668,371000,760,36.174,0,0,0,1
pool_10,103436188,370395.258142077,372500,761,35.241,0,0,0,1
pool_10,103436414,374308.519899564,365000,746,51.44,0,1,0,1
pool_10,103436497,256413.318596548,258000,705,40.039,0,0,0,1
pool_10,103436552,309918.420565292,302800,804,19.724,0,0,0,1
pool_10,103436757,193959.564626527,191462,723,41.158,0,0,1,1
pool_10,103436796,296791.414282092,290500,738,41.845,0,0,0,1
pool_10,103437565,427886.071858266,420000,698,46.638,0,0,1,0
pool_10,103437585,199781.589327299,199000,785,32.299,0,0,0,1
pool_10,103437662,290508.071356266,290000,717,24.689,0,0,1,1
pool_10,103437730,174590.101510009,170000,653,40.257,0,0,1,1
pool_10,103437773,243569.386639668,240000,751,44.782,0,0,0,1
pool_10,103437831,510901.948374973,508777,717,41.313,1,0,0,1
pool_10,103438180,204474.731525831,202000,719,28.099,0,0,1,1
pool_10,103438256,286039.548201154,285000,793,42.588,0,0,0,1
pool_10,103438258,255573.090157007,255340,731,44.64,0,0,0,1
pool_10,103438261,207623.334297669,208500,769,48.378,0,0,1,1
pool_10,103438516,154478.165306565,152000,752,23.935,0,0,1,1
pool_10,103438601,468962.995032408,468000,713,44.335,0,0,1,1
pool_10,103438771,249289.928794154,240000,739,49.414,0,0,1,1
pool_10,103438922,201616.460156613,201000,794,29.941,0,0,0,1
pool_10,103439040,204955.159845588,206500,780,30.662,0,0,0,1
pool_10,103439110,265287.094391804,265000,703,31.201,0,1,1,1
pool_10,103439428,248341.700162125,246000,666,44.045,0,0,1,1
pool_10,103439479,533811.175328932,533000,695,44.712,1,0,1,1
pool_10,103439527,250049.627305256,249600,745,29.486,0,0,1,1
pool_10,103439948,293236.463856266,290000,713,32.889,0,1,1,1
pool_10,103440403,181435.198579481,175746,793,31.521,0,0,1,1
pool_10,103440624,316596.336609117,310000,804,34.775,0,0,1,1
pool_10,103440828,235201.906551017,231750,775,22.197,0,1,0,1
pool_10,103440891,289977.549722797,288645,791,21.413,0,0,0,1
pool_10,103441100,265901.937792073,257000,753,40.137,0,0,0,1
pool_10,103441228,391303.127043928,387000,808,32.31,0,0,0,1
pool_10,103441261,298794.984712293,298000,744,43.776,0,1,0,1
pool_10,103441351,593692.46497169,598000,772,36.408,1,0,0,1
pool_10,103441520,249095.193530056,242250,737,49.774,0,0,0,1
pool_10,103441836,206802.801521452,204400,700,45.599,0,0,1,1
pool_10,103441864,290727.581999554,292000,749,33.232,0,0,0,1
pool_10,103441930,230731.294838307,224000,700,37.423,0,0,0,1
pool_10,103442017,235160.861910721,231800,773,32.81,0,0,0,1
pool_10,103442037,485705.923662616,484350,737,18.352,0,1,0,1
pool_10,103442168,241557.463260853,237000,676,42.161,0,0,0,1
pool_10,103442260,177047.400215958,173500,752,26.35,0,0,0,1
pool_10,103442270,255591.394191396,252000,776,41.692,0,1,0,1
pool_10,103442290,231444.309923564,228000,756,30.669,0,0,1,1
pool_10,103442292,238677.105668009,235000,750,44.797,0,0,0,1
pool_10,103442420,309625.825259803,308000,798,37.962,0,1,0,1
pool_10,103442430,284462.719618426,280000,748,45.291,0,1,1,1
pool_10,103442619,583623.006153589,583000,752,32.246,1,1,0,1
pool_10,103442632,175919.21654084,175000,751,46.441,0,0,1,0
pool_10,103442751,488136.849417293,488300,763,36.61,1,1,0,1
pool_10,103442854,357212.005303565,356800,741,46.174,0,0,0,1
pool_10,103442856,199115.419439026,196800,734,50.227,0,0,1,1
pool_10,103442893,159664.365326428,161739,707,21.125,0,0,0,1
pool_10,103443122,204157.647376402,203000,779,42.619,0,0,1,1
pool_10,103443138,205420.998164144,200000,744,44.952,0,0,1,1
pool_10,103443147,332234.167250352,325000,686,38.443,0,0,0,1
pool_10,103443231,461543.697482167,465000,736,49.141,0,0,1,1
pool_10,103443241,271951.305818112,269400,722,38.356,0,0,0,1
pool_10,103443385,531562.096149894,517500,800,26.429,0,1,0,1
pool_10,103443420,241510.052099955,233000,660,49.447,0,0,1,1
pool_10,103443444,314938.188496614,311000,766,19.323,0,0,1,1
pool_10,103443548,167728.512732623,166000,721,44.974,0,0,1,1
pool_10,103443660,246623.810117928,243500,790,41.542,0,0,1,1
pool_10,103443682,115021.73473633,112000,740,26.496,0,0,1,1
pool_10,103443706,265661.330691373,267000,769,44.933,0,1,0,1
pool_10,103443778,308752.554537207,305000,816,19.322,0,0,0,1
pool_10,103443810,242114.040006038,244000,817,48.491,0,0,1,1
pool_10,103443817,412530.32742403,412000,740,30.441,0,1,1,1
pool_10,103443822,209860.77768263,207500,763,23.158,0,0,1,1
pool_10,103443862,381064.442954263,379389,779,26.338,0,0,0,1
pool_10,103443999,298161.08178037,296000,737,31.74,0,0,0,1
pool_10,103444094,242836.238376884,244000,676,37.355,0,0,1,1
pool_10,103444125,223990.785410611,228000,783,39.58,0,0,1,1
pool_10,103444286,228945.132932362,224650,752,21.541,0,0,0,1
pool_10,103444291,202030.37904079,200000,746,34.159,0,1,1,1
pool_10,103444429,232715.191951752,229000,753,44.075,0,0,0,1
pool_10,103444518,201218.624884638,200400,742,31.854,0,0,1,1
pool_10,103444606,385371.622047371,376500,747,43.967,0,1,0,1
pool_10,103444615,504914.480105509,496500,720,48.932,1,0,0,1
pool_10,103444617,201085.939160575,204000,785,43.466,0,0,1,1
pool_10,103444630,236573.444622929,235000,772,49.217,0,0,1,1
pool_10,103444739,215088.831934603,215000,793,37.387,0,0,1,1
pool_10,103444862,385320.015916374,379875,779,28.461,0,0,1,1
pool_10,103445039,203723.430562884,200001,801,49.805,0,0,0,1
pool_10,103445055,282782.093711899,282000,741,17.638,0,1,0,1
pool_10,103445124,324322.372186224,320000,792,36.615,0,0,0,1
pool_10,103445258,156377.22656956,158700,702,36.653,0,0,0,1
