LoanID,Amount,FICO,DTI,HighBalFlag,PropOcc,PropState,PropType,Purpose
103408926,"83,100",683,36.032,N,Primary,KS,SFR_At,Rate/Term
103409002,"581,000",699,50.394,Y,NOO,CA,SFR_Dt,Rate/Term
103409447,"278,500",641,41.912,N,Primary,NY,SFR_Dt,Cashout
103409503,"432,000",709,34.784,N,NOO,CA,SFR_Dt,Cashout
103409533,"129,400",753,43.135,N,Primary,KS,SFR_At,Rate/Term
103409559,"200,000",812,47.745,N,Primary,OK,SFR_Dt,Cashout
103409652,"165,000",654,33.74,N,Primary,TX,SFR_Dt,Cashout
103409816,"132,981",679,27.277,N,Primary,NY,SFR_Dt,Cashout
103410038,"277,200",720,29.65,N,Primary,MN,SFR_Dt,Cashout
103410871,"407,260",702,41.888,N,Primary,TX,SFR_At,Rate/Term
103411620,"60,000",717,30.451,N,Primary,IL,CondoLo,Cashout
103411641,"360,000",743,49.01,N,Primary,OR,SFR_Dt,Cashout
103411781,"456,000",672,41.569,N,Primary,MI,SFR_Dt,Rate/Term
103412684,"100,000",730,35.002,N,Primary,MI,SFR_Dt,Cashout
103412918,"228,455",727,27.747,N,Primary,FL,SFR_At,Rate/Term
103413643,"234,971",664,31.755,N,Primary,NY,2 Unit,Cashout
103414203,"60,000",743,43.355,N,Second,VT,SFR_Dt,Cashout
103414908,"100,000",639,36.57,N,NOO,NV,SFR_Dt,Cashout
103415773,"255,200",694,47.799,N,Primary,CA,CondoLo,Rate/Term
103415935,"223,000",742,23.743,N,Primary,MN,SFR_Dt,Rate/Term
103416238,"365,000",737,23.511,N,Primary,GA,SFR_At,Rate/Term
103416586,"403,500",703,31.246,N,Primary,WA,SFR_Dt,Cashout
103416770,"594,100",691,48.497,Y,Primary,CA,SFR_Dt,Cashout
103416930,"366,939",723,38.649,N,Primary,VA,Det Condo,Rate/Term
103417434,"250,000",628,44.404,N,Primary,LA,SFR_At,Cashout
103417503,"452,000",807,41.555,N,Primary,HI,SFR_At,Rate/Term
103417629,"417,600",700,49.782,N,Primary,FL,SFR_Dt,Cashout
103417902,"320,000",762,37.984,N,Primary,FL,SFR_At,Cashout
103418312,"272,000",727,49.902,N,Primary,CA,SFR_Dt,Rate/Term
103418685,"60,000",650,15.919,N,Primary,TN,SFR_Dt,Cashout
103418846,"617,000",795,43.812,Y,Primary,CA,SFR_Dt,Rate/Term
103418858,"460,000",785,42.894,N,Primary,TX,SFR_Dt,Cashout
103419001,"60,000",768,40.045,N,Primary,NY,SFR_Dt,Cashout
103419056,"151,000",814,31.344,N,Primary,TX,SFR_Dt,Cashout
103419317,"200,000",725,45.091,N,Primary,CA,SFR_Dt,Cashout
103419571,"193,000",753,28.915,N,Primary,MN,SFR_Dt,Rate/Term
103419654,"271,850",772,38.404,N,NOO,NV,SFR_Dt,Rate/Term
103419765,"120,000",667,40.239,N,Primary,CA,SFR_Dt,Cashout
103419785,"484,350",727,18.506,N,Primary,OR,SFR_At,Rate/Term
103420030,"170,000",677,32.607,N,Primary,FL,SFR_Dt,Cashout
103420533,"330,000",685,47.045,N,Primary,MA,CondoLo,Cashout
103420744,"285,000",787,47.174,N,Primary,MI,SFR_Dt,Cashout
103420768,"84,600",673,27.704,N,Primary,TX,SFR_Dt,Cashout
103420804,"176,250",798,23.763,N,Primary,AL,CondoLo,Cashout
103420814,"189,700",697,44.848,N,Primary,IL,CondoMid,Rate/Term
103421038,"92,800",695,10.476,N,Primary,NY,SFR_Dt,Cashout
103421506,"278,400",780,42.685,N,Primary,TX,SFR_At,Rate/Term
103421508,"145,000",700,49.574,N,Primary,GA,SFR_Dt,Cashout
103421732,"165,000",680,37.611,N,Primary,TX,SFR_Dt,Cashout
103421848,"228,500",793,48.023,N,Primary,FL,SFR_Dt,Cashout
103421876,"141,000",669,43.363,N,Primary,NJ,CondoLo,Cashout
103421973,"219,500",766,34.667,N,Primary,PA,SFR_At,Rate/Term
103421991,"195,000",655,31.512,N,Primary,PA,SFR_Dt,Rate/Term
103422166,"320,000",796,38.667,N,Primary,ID,SFR_Dt,Cashout
103422184,"305,634",767,13.559,N,Primary,AZ,SFR_Dt,Cashout
103422272,"282,000",794,41.052,N,Primary,IN,SFR_At,Rate/Term
103422334,"311,200",757,35.904,N,Primary,TX,SFR_Dt,Cashout
103422386,"281,000",781,47.863,N,Primary,NJ,SFR_Dt,Cashout
103422713,"252,000",687,41.869,N,Primary,CA,SFR_Dt,Rate/Term
103422728,"168,750",655,32.181,N,Primary,TX,SFR_Dt,Cashout
103423137,"381,000",695,28.571,N,Primary,TN,SFR_Dt,Rate/Term
103423319,"152,880",694,37.166,N,Primary,NY,SFR_Dt,Rate/Term
103423456,"105,000",685,47.642,N,Primary,WV,SFR_Dt,Cashout
103423917,"319,000",779,33.099,N,Primary,IN,SFR_Dt,Rate/Term
103424027,"484,000",786,34.411,N,Primary,NV,SFR_At,Cashout
103424065,"200,000",761,23.726,N,Primary,AZ,SFR_Dt,Rate/Term
103424095,"94,500",647,29.722,N,Primary,WA,SFR_Dt,Cashout
103424224,"204,700",774,24.862,N,Primary,TX,SFR_At,Rate/Term
103424320,"303,000",775,40.692,N,Primary,MA,SFR_Dt,Rate/Term
103424434,"224,000",776,37.873,N,Primary,CA,SFR_Dt,Rate/Term
103424716,"280,000",720,29.437,N,Primary,ID,SFR_Dt,Cashout
103425210,"178,000",744,35.336,N,NOO,TX,SFR_At,Rate/Term
103425481,"431,900",775,6.255,N,Primary,UT,SFR_Dt,Rate/Term
103425582,"175,000",646,23.296,N,Primary,FL,SFR_At,Cashout
103425640,"435,000",768,47.774,N,Primary,CA,SFR_Dt,Cashout
103425650,"275,000",809,26.578,N,Primary,CA,CondoHi,Cashout
103425707,"88,000",675,32.735,N,Primary,IN,SFR_Dt,Rate/Term
103425788,"270,500",743,39.711,N,Primary,OK,SFR_Dt,Cashout
103425841,"215,000",697,48.9,N,NOO,UT,SFR_Dt,Cashout
103425974,"436,000",731,35.788,N,Primary,CA,SFR_Dt,Rate/Term
103426078,"203,000",685,42.055,N,Primary,NC,SFR_At,Rate/Term
103426139,"305,000",771,25.878,N,Primary,MD,SFR_Dt,Rate/Term
103426244,"189,400",771,31.337,N,Primary,WI,SFR_Dt,Rate/Term
103426469,"420,000",773,48.69,N,Primary,OR,SFR_At,Cashout
103426481,"159,300",792,42.592,N,Primary,MA,CondoLo,Rate/Term
103426797,"258,000",785,50.409,N,NOO,WA,SFR_At,Cashout
103427209,"260,000",745,47.765,N,Primary,OH,SFR_Dt,Cashout
103427238,"419,000",723,29.321,N,Primary,CO,SFR_Dt,Rate/Term
103427249,"360,000",720,43.154,N,Primary,GA,SFR_Dt,Rate/Term
103427256,"305,338",779,28.165,N,Primary,TX,SFR_At,Cashout
103427308,"361,000",794,22.825,N,Primary,NJ,CondoLo,Rate/Term
103427331,"202,000",797,47.978,N,NOO,HI,CondoHi,Rate/Term
103427337,"245,650",710,45.537,N,Primary,CA,SFR_Dt,Rate/Term
103427567,"327,000",747,44.932,N,Primary,IL,SFR_Dt,Cashout
103427701,"150,000",622,37.765,N,Primary,TX,SFR_At,Cashout
103427889,"64,000",696,39.111,N,Primary,WV,SFR_Dt,Cashout
103428057,"200,000",783,43.911,N,Primary,MA,SFR_Dt,Cashout
103428104,"332,200",772,47,N,Primary,WA,SFR_Dt,Rate/Term
103428417,"519,419",740,20.602,Y,Primary,CA,CondoHi,Rate/Term
103428435,"182,360",806,26.646,N,Primary,TX,SFR_Dt,Purchase
103428464,"139,000",811,49.591,N,NOO,IL,SFR_Dt,Cashout
103428520,"231,800",808,36.457,N,Primary,CA,SFR_Dt,Rate/Term
103428554,"256,000",810,20.369,N,Primary,IN,SFR_At,Rate/Term
103428558,"174,000",801,27.24,N,Primary,MT,SFR_Dt,Cashout
103428682,"330,000",813,32.137,N,Primary,NC,SFR_At,Rate/Term
103428714,"392,000",811,50,N,Primary,NJ,SFR_Dt,Cashout
103428961,"180,000",738,40.673,N,Primary,ME,SFR_Dt,Cashout
103429085,"167,000",669,29.099,N,Primary,IL,SFR_Dt,Rate/Term
103429102,"393,000",777,35.587,N,Primary,CT,SFR_Dt,Rate/Term
103429157,"100,000",632,44.383,N,NOO,NJ,SFR_Dt,Cashout
103429505,"255,000",770,28.211,N,Primary,AZ,SFR_Dt,Rate/Term
103429553,"280,000",703,19.833,N,Primary,AZ,SFR_Dt,Rate/Term
103429968,"171,500",819,26.639,N,Primary,FL,CondoMid,Rate/Term
103430032,"342,600",798,19.895,N,Primary,TN,SFR_Dt,Rate/Term
103430046,"260,000",798,23.347,N,Primary,CA,SFR_Dt,Rate/Term
103430102,"111,300",789,27.416,N,Primary,NY,SFR_Dt,Rate/Term
103430210,"129,700",719,33.171,N,Primary,MT,SFR_Dt,Rate/Term
103430265,"191,000",669,21.26,N,Primary,CA,SFR_Dt,Cashout
103430326,"330,700",796,28.319,N,Second,FL,SFR_At,Rate/Term
103430374,"388,500",771,47.658,N,Primary,CA,SFR_Dt,Rate/Term
103430384,"142,500",719,32.832,N,Primary,VA,SFR_Dt,Rate/Term
103430576,"300,000",747,35.316,N,Primary,CA,SFR_Dt,Rate/Term
103430725,"192,000",743,26.475,N,Primary,IL,SFR_Dt,Cashout
103430731,"125,000",767,26.83,N,Primary,VA,SFR_Dt,Cashout
103430775,"234,000",782,16.373,N,Second,AZ,SFR_At,Cashout
103430828,"273,406",809,39.283,N,Primary,CA,CondoLo,Rate/Term
103430834,"162,000",659,37.495,N,Primary,TN,SFR_Dt,Cashout
103430989,"343,000",801,47.798,N,Primary,WA,SFR_At,Rate/Term
103430997,"116,800",700,41.141,N,Primary,OH,SFR_Dt,Cashout
103431023,"390,500",785,24.464,N,Primary,CA,SFR_At,Rate/Term
103431066,"289,500",801,40.687,N,Primary,CA,CondoLo,Rate/Term
103431297,"332,700",773,42.322,N,Primary,NY,SFR_Dt,Rate/Term
103431370,"112,000",680,45.297,N,Primary,MI,SFR_Dt,Cashout
103431424,"726,525",785,43.942,Y,Primary,VA,SFR_Dt,Rate/Term
103431488,"233,900",773,29.059,N,Primary,WA,SFR_Dt,Rate/Term
103431496,"315,200",739,49.781,N,Primary,NV,SFR_At,Rate/Term
103431513,"484,350",744,34.847,N,Primary,MA,SFR_Dt,Rate/Term
103431648,"548,000",711,31.243,Y,Primary,CA,SFR_Dt,Rate/Term
103431853,"150,000",809,26.206,N,Primary,CA,SFR_Dt,Cashout
103432033,"211,388",708,37.543,N,Primary,FL,SFR_At,Rate/Term
103432290,"182,850",791,31.324,N,Primary,OR,CondoHi,Rate/Term
103432395,"545,000",752,45.965,Y,Primary,VA,SFR_Dt,Rate/Term
103432502,"400,000",725,49.659,N,Primary,NM,SFR_Dt,Cashout
103432569,"218,648",732,33.444,N,Primary,CA,CondoLo,Cashout
103432576,"239,400",703,34.648,N,Primary,TX,SFR_At,Rate/Term
103432765,"188,000",708,44.666,N,Primary,ME,SFR_Dt,Cashout
103432892,"300,000",784,40.634,N,Primary,MN,SFR_Dt,Cashout
103432918,"260,000",793,41.854,N,Primary,MT,SFR_Dt,Rate/Term
103432930,"315,000",763,43.62,N,Second,DE,SFR_At,Rate/Term
103433010,"200,000",757,44.708,N,Primary,AZ,SFR_At,Cashout
103433015,"266,750",791,22.79,N,Primary,IL,CondoLo,Rate/Term
103433032,"289,000",792,31.585,N,Primary,LA,SFR_Dt,Rate/Term
103433084,"510,500",786,48.681,Y,Primary,CA,SFR_Dt,Rate/Term
103433094,"243,000",769,22.365,N,Primary,TX,SFR_At,Cashout
103433103,"527,800",781,38.686,Y,Primary,CA,SFR_Dt,Rate/Term
103433110,"255,000",777,23.22,N,Primary,MI,Det Condo,Cashout
103433164,"150,000",739,40.893,N,Primary,CA,SFR_Dt,Cashout
103433314,"420,000",801,41.21,N,Primary,TN,SFR_At,Cashout
103433322,"274,037",738,37,N,Primary,AZ,SFR_At,Rate/Term
103433415,"226,500",680,50.004,N,Primary,CA,SFR_Dt,Rate/Term
103433476,"265,500",764,46.115,N,Primary,CA,Det Condo,Rate/Term
103433499,"200,000",775,16.542,N,Primary,ME,SFR_Dt,Rate/Term
103433569,"231,750",755,44.875,N,Primary,MD,CondoHi,Rate/Term
103433637,"301,700",757,40.07,N,Primary,NJ,SFR_Dt,Rate/Term
103433694,"400,000",770,25.007,N,Primary,MD,SFR_At,Rate/Term
103433722,"150,300",790,27.528,N,Primary,NM,SFR_At,Rate/Term
103433752,"376,000",783,22,N,Primary,GA,SFR_Dt,Rate/Term
103433757,"187,000",778,39.786,N,Primary,NC,SFR_At,Rate/Term
103433873,"253,800",765,50.395,N,Primary,TX,Det Condo,Rate/Term
103434047,"397,000",765,34.606,N,Primary,CO,SFR_Dt,Rate/Term
103434116,"402,000",776,34.19,N,Primary,CA,SFR_Dt,Cashout
103434176,"135,500",756,48.089,N,Primary,OR,SFR_Dt,Cashout
103434507,"261,000",768,20.737,N,Primary,WA,SFR_At,Cashout
103434542,"352,000",731,48.374,N,Primary,WY,SFR_Dt,Rate/Term
103434609,"246,400",761,36.737,N,Primary,FL,SFR_Dt,Rate/Term
103434774,"390,000",729,37.393,N,Primary,NM,SFR_Dt,Rate/Term
103434818,"379,000",710,42.991,N,Primary,CA,SFR_Dt,Rate/Term
103434944,"239,000",771,30.859,N,Primary,LA,SFR_Dt,Cashout
103435076,"167,780",785,20.885,N,Primary,UT,SFR_Dt,Rate/Term
103435180,"104,180",742,44.09,N,Primary,NY,SFR_Dt,Cashout
103435202,"396,000",796,12.898,N,Primary,AK,SFR_At,Rate/Term
103435216,"247,000",756,44.208,N,Primary,ID,SFR_Dt,Cashout
103435271,"484,000",755,28.717,N,Second,FL,CondoHi,Cashout
103435321,"253,000",778,35.687,N,Primary,DE,CondoLo,Rate/Term
103435358,"474,375",760,42.783,N,Primary,CA,SFR_Dt,Cashout
103435361,"642,000",787,42.059,Y,Primary,CA,SFR_Dt,Cashout
103435403,"240,000",761,30.54,N,Second,AZ,SFR_Dt,Rate/Term
103435419,"300,000",809,25.382,N,Primary,VA,CondoLo,Rate/Term
103435458,"218,400",756,49.743,N,Primary,NH,SFR_Dt,Cashout
103435521,"392,000",721,44.001,N,Primary,TN,SFR_At,Rate/Term
103435525,"235,025",771,46.506,N,Primary,NC,SFR_At,Rate/Term
103435539,"525,000",702,37.261,Y,Primary,NJ,SFR_Dt,Rate/Term
103435638,"337,000",703,43.83,N,Primary,MD,SFR_Dt,Cashout
103435655,"291,000",799,28.097,N,Primary,VA,SFR_At,Rate/Term
103435834,"371,000",760,36.174,N,Primary,AZ,SFR_At,Rate/Term
103435874,"263,600",745,23.333,N,Primary,TX,SFR_At,Rate/Term
103436034,"309,500",712,41.785,N,Primary,CA,SFR_Dt,Cashout
103436188,"372,500",761,35.241,N,Primary,WA,SFR_Dt,Rate/Term
103436286,"216,000",662,32.129,N,Primary,CA,SFR_At,Rate/Term
103436414,"365,000",746,51.44,N,Primary,CA,SFR_Dt,Rate/Term
103436454,"165,000",765,36,N,Primary,TN,SFR_At,Cashout
103436497,"258,000",705,40.039,N,Primary,GA,SFR_Dt,Rate/Term
103436516,"343,000",741,31.224,N,Primary,IL,SFR_Dt,Rate/Term
103436552,"302,800",804,19.724,N,Primary,MA,SFR_Dt,Rate/Term
103436757,"191,462",723,41.158,N,Primary,AZ,SFR_At,Cashout
103436796,"290,500",738,41.845,N,Primary,WA,SFR_Dt,Rate/Term
103436851,"169,000",744,50.476,N,Primary,AZ,SFR_At,Rate/Term
103437146,"144,900",677,35.206,N,Primary,TX,SFR_Dt,Cashout
103437246,"248,000",791,48,N,Primary,MI,SFR_At,Rate/Term
103437421,"201,000",772,46.956,N,Primary,DE,SFR_At,Rate/Term
103437451,"267,200",743,27.552,N,Primary,OR,SFR_Dt,Cashout
103437512,"175,000",788,20.14,N,Primary,NV,SFR_At,Rate/Term
103437565,"420,000",698,46.638,N,Second,LA,SFR_At,Cashout
103437585,"199,000",785,32.299,N,Primary,WI,SFR_Dt,Rate/Term
103437662,"290,000",717,24.689,N,Primary,FL,SFR_At,Cashout
103437730,"170,000",653,40.257,N,Primary,GA,SFR_Dt,Cashout
103437773,"240,000",751,44.782,N,Primary,MD,SFR_Dt,Rate/Term
103437831,"508,777",717,41.313,Y,Primary,WA,SFR_At,Rate/Term
103437941,"273,847",744,46.311,N,Primary,AL,SFR_At,Rate/Term
103438180,"202,000",719,28.099,N,Primary,AZ,SFR_At,Cashout
103438256,"285,000",793,42.588,N,Primary,MD,SFR_Dt,Rate/Term
103438258,"255,340",731,44.64,N,Primary,PA,SFR_Dt,Rate/Term
103438261,"208,500",769,48.378,N,Primary,VT,SFR_Dt,Cashout
103438328,"298,000",819,36.982,N,Primary,TX,SFR_At,Rate/Term
103438516,"152,000",752,23.935,N,Primary,KS,SFR_Dt,Cashout
103438532,"494,500",680,23.949,Y,Primary,CA,SFR_Dt,Rate/Term
103438601,"468,000",713,44.335,N,Primary,LA,SFR_Dt,Cashout
103438771,"240,000",739,49.414,N,Primary,NJ,SFR_Dt,Cashout
103438824,"363,000",762,37.184,N,Primary,OH,SFR_At,Rate/Term
103438866,"441,000",662,43.443,N,Primary,NJ,SFR_Dt,Rate/Term
103438922,"201,000",794,29.941,N,Primary,NC,SFR_At,Rate/Term
103439040,"206,500",780,30.662,N,Primary,FL,SFR_At,Rate/Term
103439046,"420,600",717,47.971,N,Primary,WA,SFR_Dt,Rate/Term
103439053,"467,900",709,47.175,N,Primary,FL,SFR_At,Rate/Term
103439110,"265,000",703,31.201,N,Primary,CA,SFR_Dt,Cashout
103439195,"267,000",734,39.875,N,Primary,OH,SFR_Dt,Rate/Term
103439239,"314,500",789,32.497,N,NOO,TN,4 Unit,Rate/Term
103439262,"260,000",707,47.245,N,Primary,NC,SFR_Dt,Cashout
103439395,"341,500",715,47.179,N,Primary,CA,SFR_Dt,Rate/Term
103439428,"246,000",666,44.045,N,Primary,ME,SFR_Dt,Cashout
103439465,"513,000",795,34.41,Y,Primary,CA,SFR_At,Rate/Term
103439479,"533,000",695,44.712,Y,Primary,HI,SFR_At,Cashout
103439527,"249,600",745,29.486,N,Primary,OR,SFR_Dt,Cashout
103439625,"235,500",808,16.663,N,Primary,MI,SFR_Dt,Rate/Term
103439743,"445,000",765,39.184,N,Primary,NJ,SFR_Dt,Rate/Term
103439892,"325,500",734,28.067,N,Second,CA,SFR_Dt,Rate/Term
103439948,"290,000",713,32.889,N,Primary,CA,SFR_Dt,Cashout
103440091,"245,800",823,38.248,N,Primary,WA,SFR_Dt,Rate/Term
103440122,"295,500",633,48.396,N,Primary,CA,SFR_Dt,Cashout
103440403,"175,746",793,31.521,N,Primary,FL,SFR_Dt,Cashout
103440504,"225,000",725,37.661,N,Primary,UT,SFR_At,Rate/Term
103440510,"344,500",686,30.306,N,Primary,CA,CondoLo,Rate/Term
103440624,"310,000",804,34.775,N,Primary,NC,SFR_At,Cashout
103440827,"228,461",782,27.876,N,Primary,MI,Det Condo,Rate/Term
103440828,"231,750",775,22.197,N,Primary,CA,SFR_Dt,Rate/Term
103440891,"288,645",791,21.413,N,Primary,FL,SFR_At,Rate/Term
103440998,"319,500",816,18.066,N,Second,NJ,CondoLo,Rate/Term
103441018,"245,000",667,37.473,N,Primary,OR,SFR_Dt,Cashout
103441100,"257,000",753,40.137,N,Primary,UT,SFR_At,Rate/Term
103441204,"282,500",785,32.821,N,Primary,WA,SFR_At,Rate/Term
103441214,"225,250",781,18.148,N,Primary,NJ,CondoLo,Rate/Term
103441228,"387,000",808,32.31,N,Primary,SC,SFR_At,Rate/Term
103441261,"298,000",744,43.776,N,Primary,CA,SFR_Dt,Rate/Term
103441277,"183,000",757,31.46,N,Primary,FL,SFR_At,Rate/Term
103441320,"253,000",778,23.264,N,Primary,NM,SFR_At,Rate/Term
103441351,"598,000",772,36.408,Y,Primary,VA,SFR_Dt,Rate/Term
103441499,"470,500",782,47.622,N,Primary,CA,SFR_Dt,Rate/Term
103441520,"242,250",737,49.774,N,Primary,TX,SFR_Dt,Rate/Term
103441612,"257,000",647,43.437,N,Primary,TX,SFR_Dt,Cashout
103441769,"173,729",771,25.638,N,Primary,NY,CondoLo,Rate/Term
103441799,"212,650",625,28.627,N,Primary,TX,SFR_Dt,Rate/Term
103441836,"204,400",700,45.599,N,Primary,MT,SFR_At,Cashout
103441864,"292,000",749,33.232,N,Primary,DE,SFR_Dt,Rate/Term
103441930,"224,000",700,37.423,N,Primary,MA,SFR_Dt,Rate/Term
103442017,"231,800",773,32.81,N,Primary,OH,SFR_At,Rate/Term
103442037,"484,350",737,18.352,N,Primary,CA,SFR_Dt,Rate/Term
103442168,"237,000",676,42.161,N,Primary,GA,SFR_At,Rate/Term
103442260,"173,500",752,26.35,N,Primary,PA,SFR_At,Rate/Term
103442270,"252,000",776,41.692,N,Primary,CA,SFR_Dt,Rate/Term
103442290,"228,000",756,30.669,N,Primary,NJ,SFR_Dt,Cashout
103442292,"235,000",750,44.797,N,Primary,TX,SFR_At,Rate/Term
103442319,"312,900",732,48.962,N,Primary,NC,SFR_At,Rate/Term
103442420,"308,000",798,37.962,N,Primary,CA,SFR_Dt,Rate/Term
103442430,"280,000",748,45.291,N,Primary,CA,SFR_At,Cashout
103442495,"193,500",770,36.706,N,Primary,NY,SFR_Dt,Rate/Term
103442619,"583,000",752,32.246,Y,Primary,CA,SFR_Dt,Rate/Term
103442632,"175,000",751,46.441,N,NOO,RI,SFR_Dt,Cashout
103442652,"165,000",758,32.486,N,Primary,WV,SFR_At,Cashout
103442709,"209,000",702,46.299,N,Primary,GA,SFR_At,Rate/Term
103442751,"488,300",763,36.61,Y,Primary,CA,SFR_Dt,Rate/Term
103442753,"426,800",802,32.538,N,Second,NV,SFR_At,Rate/Term
103442782,"159,000",625,20.618,N,Primary,TX,SFR_Dt,Cashout
103442829,"165,000",800,38.403,N,NOO,NV,SFR_Dt,Rate/Term
103442854,"356,800",741,46.174,N,Primary,WA,SFR_At,Rate/Term
103442856,"196,800",734,50.227,N,Primary,MI,CondoLo,Cashout
103442893,"161,739",707,21.125,N,Primary,MO,CondoLo,Rate/Term
103442955,"328,500",714,48.26,N,Primary,CA,CondoLo,Rate/Term
103443046,"121,600",729,45.167,N,Primary,TX,SFR_Dt,Cashout
103443122,"203,000",779,42.619,N,Primary,NJ,SFR_At,Cashout
103443138,"200,000",744,44.952,N,Primary,MO,SFR_Dt,Cashout
103443147,"325,000",686,38.443,N,Primary,OR,SFR_Dt,Rate/Term
103443231,"465,000",736,49.141,N,Primary,MA,SFR_Dt,Cashout
103443241,"269,400",722,38.356,N,Primary,NV,SFR_Dt,Rate/Term
103443345,"267,500",673,20.305,N,Primary,PA,SFR_At,Rate/Term
103443385,"517,500",800,26.429,N,Primary,CA,2 Unit,Rate/Term
103443420,"233,000",660,49.447,N,Primary,TX,SFR_Dt,Cashout
103443444,"311,000",766,19.323,N,Primary,IN,SFR_At,Cashout
103443548,"166,000",721,44.974,N,Primary,ID,SFR_At,Cashout
103443660,"243,500",790,41.542,N,Primary,WA,SFR_Dt,Cashout
103443682,"112,000",740,26.496,N,Primary,WI,SFR_Dt,Cashout
103443696,"112,500",722,44.711,N,Primary,FL,SFR_At,Rate/Term
103443706,"267,000",769,44.933,N,Primary,CA,SFR_Dt,Rate/Term
103443708,"380,000",804,47.318,N,Primary,CA,SFR_Dt,Cashout
103443778,"305,000",816,19.322,N,Primary,UT,SFR_At,Rate/Term
103443810,"244,000",817,48.491,N,Primary,TN,SFR_Dt,Cashout
103443817,"412,000",740,30.441,N,Primary,CA,SFR_Dt,Cashout
