LoanID,"Price, P_ijk","Pool Opton, j","Servicer, k"
103379882,105.2549195342470,pool_407,Retained
103379882,105.2417053508960,pool_395,Pingora
103379882,105.1323303508960,pool_408,Pingora
103379882,104.9267945342470,pool_251,Retained
103379882,104.8042053508960,pool_252,Pingora
103382160,103.2089390821920,pool_301,Retained
103382160,103.1870640821920,pool_309,Retained
103382160,103.1433140821920,pool_317,Retained
103382160,103.0995640821920,pool_325,Retained
103382160,103.0163668721920,pool_232,Retained
103382160,102.9901890821920,pool_236,Retained
103382160,102.9646019591970,pool_302,Two Harbors
103382160,102.9427269591970,pool_310,Two Harbors
103382160,102.8989769591970,pool_318,Two Harbors
103382160,102.8979716164380,pool_300,Pingora
103382160,102.8760966164380,pool_308,Pingora
103382160,102.8552269591970,pool_326,Two Harbors
103382160,102.8323466164380,pool_316,Pingora
103382160,102.7885966164380,pool_324,Pingora
103382160,102.7458519591970,pool_237,Two Harbors
103382160,102.7408429591970,pool_233,Two Harbors
103382160,102.6792216164380,pool_235,Pingora
103382160,102.3324216164380,pool_231,Pingora
103382190,105.2307846027400,pool_188,Retained
103382190,104.7015629873550,pool_187,Pingora
103382190,104.5201596027400,pool_191,Retained
103382190,104.1057846027400,pool_17,Retained
103382190,103.9909379873550,pool_190,Pingora
103382190,103.7389096027400,pool_21,Retained
103382190,103.5765629873550,pool_16,Pingora
103382190,103.2096879873550,pool_20,Pingora
103382628,102.8022249315070,pool_112,Retained
103382628,102.7147249315070,pool_5,Retained
103382628,102.4059869315070,pool_340,Retained
103382628,102.3184869315070,pool_232,Retained
103382628,102.2115999315070,pool_113,Retained
103382628,102.2072619315070,pool_341,Retained
103382628,101.8615999315070,pool_9,Retained
103382628,101.8572619315070,pool_236,Retained
103383740,100.7293436794650,pool_3,Two Harbors
103383740,100.5882422771960,pool_1,Pingora
103383740,100.5149686794650,pool_6,Two Harbors
103383740,100.4725186795840,pool_233,Two Harbors
103383740,100.4686616301370,pool_2,Retained
103383740,100.3738672771960,pool_4,Pingora
103383740,100.3626936795840,pool_230,Two Harbors
103383740,100.3484672771960,pool_231,Pingora
103383740,100.2746066301370,pool_232,Retained
103383740,100.2542866301370,pool_5,Retained
103383740,100.2386422771960,pool_228,Pingora
103383740,100.1647816301370,pool_229,Retained
103386126,101.4808053561640,pool_232,Retained
103386126,101.3172027123290,pool_233,Two Harbors
103386126,101.2290753835620,pool_231,Pingora
103386790,103.5373687712330,pool_213,Retained
103386790,103.5026315440420,pool_215,Pingora
103386790,103.2904120675660,pool_214,Two Harbors
103386790,103.1226315440420,pool_446,Pingora
103386790,103.0666118712330,pool_444,Retained
103386790,102.9123687712330,pool_13,Retained
103386790,102.8776315440420,pool_15,Pingora
103386790,102.8541720677190,pool_445,Two Harbors
103386790,102.6654120675660,pool_14,Two Harbors
103386790,102.6556565440420,pool_218,Pingora
103386790,102.6182336712330,pool_216,Retained
103386790,102.4976315440420,pool_242,Pingora
103386790,102.4416118712330,pool_240,Retained
103386790,102.4276565440420,pool_449,Pingora
103386790,102.3826220675660,pool_217,Two Harbors
103386790,102.2952786712330,pool_447,Retained
103386790,102.2291720677190,pool_241,Two Harbors
103386790,102.0832220677190,pool_448,Two Harbors
103386790,102.0306565440420,pool_19,Pingora
103386790,101.9932336712330,pool_17,Retained
103386790,101.9436187712330,pool_40,Retained
103386790,101.9088815440420,pool_42,Pingora
103386790,101.8026565440420,pool_246,Pingora
103386790,101.7576220675660,pool_18,Two Harbors
103386790,101.6966620675660,pool_41,Two Harbors
103386790,101.6913815440420,pool_269,Pingora
103386790,101.6702786712330,pool_244,Retained
103386790,101.6353618712330,pool_267,Retained
103386790,101.4582220677190,pool_245,Two Harbors
103386790,101.4229220677190,pool_268,Two Harbors
103386790,100.5624065440420,pool_273,Pingora
103386790,100.4764065440420,pool_46,Pingora
103386790,100.4463836712330,pool_44,Retained
103386790,100.4300286712330,pool_271,Retained
103386790,100.2179720677190,pool_272,Two Harbors
103386790,100.2107720675660,pool_45,Two Harbors
103388198,101.0230119949530,pool_233,Two Harbors
103388198,100.9765588370580,pool_231,Pingora
103388198,100.9421352054790,pool_232,Retained
103388198,100.7591544949530,pool_230,Two Harbors
103388198,100.6610172804790,pool_229,Retained
103388198,100.6204338370580,pool_228,Pingora
103389046,101.6962322328770,pool_236,Retained
103389046,101.5102380839410,pool_235,Pingora
103389046,101.3326025520260,pool_237,Two Harbors
103389046,101.1057822328770,pool_240,Retained
103389046,100.9197880839410,pool_239,Pingora
103389046,100.7421525520260,pool_241,Two Harbors
103389210,101.0712322328770,pool_236,Retained
103389210,100.8675979623600,pool_235,Pingora
103389210,100.7084946492900,pool_237,Two Harbors
103389210,100.4807822328770,pool_240,Retained
103389210,100.2771479623600,pool_239,Pingora
103389210,100.1180446492900,pool_241,Two Harbors
103389421,100.5187605042580,pool_443,Pingora
103389421,100.3967355042580,pool_440,Pingora
103389421,100.3603901643840,pool_441,Retained
103389421,100.3274987893840,pool_438,Retained
103389421,100.1431192724920,pool_439,Two Harbors
103389421,100.1125105042580,pool_372,Pingora
103389421,100.0839142724920,pool_442,Two Harbors
103389421,100.0687605042580,pool_385,Pingora
103389421,99.9812605042577,pool_398,Pingora
103389421,99.9541401643836,pool_370,Retained
103389421,99.9103901643836,pool_383,Retained
103389421,99.8937605042577,pool_238,Pingora
103389421,99.8228901643836,pool_396,Retained
103389421,99.7717355042577,pool_234,Pingora
103389421,99.7353901643836,pool_236,Retained
103389421,99.7024987893836,pool_232,Retained
103389421,99.6776642724917,pool_371,Two Harbors
103389421,99.6339142724917,pool_384,Two Harbors
103389421,99.5464142724917,pool_397,Two Harbors
103389421,99.5181192724917,pool_233,Two Harbors
103389421,99.4589142724917,pool_237,Two Harbors
103389760,103.7299654246580,pool_139,Pingora
103389760,103.7299654246580,pool_152,Pingora
103389760,103.5830904246580,pool_141,Pingora
103389760,103.4737154246580,pool_154,Pingora
103389760,103.4455904246580,pool_165,Pingora
103389760,103.4377631780820,pool_138,Retained
103389760,103.4377631780820,pool_151,Retained
103389760,103.2924654246580,pool_367,Pingora
103389760,103.2771381780820,pool_140,Retained
103389760,103.1677631780820,pool_153,Retained
103389760,103.1533881780820,pool_164,Retained
103389760,103.1174654246580,pool_380,Pingora
103389760,103.1174654246580,pool_175,Pingora
103389760,102.9273404246580,pool_369,Pingora
103389760,102.8835904246580,pool_382,Pingora
103389760,102.8722061780820,pool_366,Retained
103389760,102.8252631780820,pool_174,Retained
103389760,102.8174654246580,pool_167,Pingora
103389760,102.7674654246580,pool_393,Pingora
103389760,102.6972061780820,pool_379,Retained
103389760,102.6862154246580,pool_177,Pingora
103389760,102.5115131780820,pool_166,Retained
103389760,102.4830904246580,pool_406,Pingora
103389760,102.4830904246580,pool_22,Pingora
103389760,102.4758311780820,pool_368,Retained
103389760,102.4679654246580,pool_395,Pingora
103389760,102.4320811780820,pool_381,Retained
103389760,102.3802631780820,pool_176,Retained
103389760,102.3799654246580,pool_25,Pingora
103389760,102.3585904246580,pool_408,Pingora
103389760,102.3472061780820,pool_392,Retained
103389760,102.1908881780820,pool_21,Retained
103389760,102.0893404246580,pool_249,Pingora
103389760,102.0740131780820,pool_24,Retained
103389760,102.0628311780820,pool_405,Retained
103389760,102.0304654246580,pool_252,Pingora
103389760,102.0164561780820,pool_394,Retained
103389760,101.9070811780820,pool_407,Retained
103389760,101.6690811780820,pool_248,Retained
103389760,101.5789561780820,pool_251,Retained
103390043,101.9383506575340,pool_301,Retained
103390043,101.9164756575340,pool_309,Retained
103390043,101.8727256575340,pool_317,Retained
103390043,101.8341255893340,pool_302,Two Harbors
103390043,101.8289756575340,pool_325,Retained
103390043,101.8122505893340,pool_310,Two Harbors
103390043,101.7685005893340,pool_318,Two Harbors
103390043,101.7247505893340,pool_326,Two Harbors
103390043,101.7196006575340,pool_236,Retained
103390043,101.6504706575340,pool_300,Pingora
103390043,101.6285956575340,pool_308,Pingora
103390043,101.6153755893340,pool_237,Two Harbors
103390043,101.5848456575340,pool_316,Pingora
103390043,101.5410956575340,pool_324,Pingora
103390043,101.4317206575340,pool_235,Pingora
103390162,100.3384072328770,pool_5,Retained
103390162,100.2205169005140,pool_7,Pingora
103390162,100.2035412767490,pool_6,Two Harbors
103390162,100.1052762328770,pool_232,Retained
103390162,100.0815169005140,pool_234,Pingora
103390162,99.9767412769015,pool_233,Two Harbors
103390162,99.0652822328767,pool_9,Retained
103390162,98.9491512328767,pool_236,Retained
103390162,98.9304162767489,pool_10,Two Harbors
103390162,98.9298919005135,pool_11,Pingora
103390162,98.9253919005135,pool_238,Pingora
103390162,98.8206162769015,pool_237,Two Harbors
103391560,99.3626142392332,pool_6,Two Harbors
103391560,99.3299114162046,pool_7,Pingora
103391560,99.1855221205480,pool_5,Retained
103391560,98.8949114162046,pool_234,Pingora
103391560,98.8241542393858,pool_233,Two Harbors
103391560,98.7589292392333,pool_10,Two Harbors
103391560,98.7137864162046,pool_11,Pingora
103391560,98.6380495205480,pool_232,Retained
103391560,98.6055095205480,pool_9,Retained
103391560,98.5997864162046,pool_238,Pingora
103391560,98.5257292393859,pool_237,Two Harbors
103391560,98.3651445205480,pool_236,Retained
103391895,101.8690846642310,pool_6,Two Harbors
103391895,101.6663786643840,pool_5,Retained
103391895,101.5885963150690,pool_7,Pingora
103391895,101.5748536642310,pool_10,Two Harbors
103391895,101.4478311643840,pool_9,Retained
103391895,101.4303713150680,pool_11,Pingora
103391895,101.4291086643840,pool_233,Two Harbors
103391895,101.3699036643840,pool_237,Two Harbors
103391895,101.3116213150680,pool_238,Pingora
103391895,101.2353901643840,pool_236,Retained
103391895,101.2210963150690,pool_234,Pingora
103391895,101.2024987893840,pool_232,Retained
103392396,103.2713802328770,pool_66,Retained
103392396,103.1620052328770,pool_74,Retained
103392396,103.1620052328770,pool_82,Retained
103392396,103.1620052328770,pool_90,Retained
103392396,103.1620052328770,pool_98,Retained
103392396,103.1056072328770,pool_293,Retained
103392396,103.0526302328770,pool_9,Retained
103392396,103.0399822328770,pool_301,Retained
103392396,103.0181072328770,pool_309,Retained
103392396,102.9759837524100,pool_67,Two Harbors
103392396,102.9743572328770,pool_317,Retained
103392396,102.9306072328770,pool_325,Retained
103392396,102.9065562894800,pool_65,Pingora
103392396,102.8666087524100,pool_75,Two Harbors
103392396,102.8666087524100,pool_83,Two Harbors
103392396,102.8666087524100,pool_91,Two Harbors
103392396,102.8666087524100,pool_99,Two Harbors
103392396,102.8212322328770,pool_236,Retained
103392396,102.7971812894800,pool_73,Pingora
103392396,102.7971812894800,pool_81,Pingora
103392396,102.7971812894800,pool_89,Pingora
103392396,102.7971812894800,pool_97,Pingora
103392396,102.7572337524100,pool_10,Two Harbors
103392396,102.7377587525300,pool_294,Two Harbors
103392396,102.7339072328770,pool_296,Retained
103392396,102.6970052328770,pool_69,Retained
103392396,102.6878062894800,pool_8,Pingora
103392396,102.6853812894800,pool_292,Pingora
103392396,102.6721337525300,pool_302,Two Harbors
103392396,102.6502587525300,pool_310,Two Harbors
103392396,102.6197562894800,pool_300,Pingora
103392396,102.6065087525300,pool_318,Two Harbors
103392396,102.5978812894800,pool_308,Pingora
103392396,102.5807822328770,pool_304,Retained
103392396,102.5627587525300,pool_326,Two Harbors
103392396,102.5589072328770,pool_312,Retained
103392396,102.5541312894800,pool_316,Pingora
103392396,102.5438802328770,pool_77,Retained
103392396,102.5220052328770,pool_85,Retained
103392396,102.5103812894800,pool_324,Pingora
103392396,102.4533837525300,pool_237,Two Harbors
103392396,102.4495322328770,pool_320,Retained
103392396,102.4126302328770,pool_93,Retained
103392396,102.4016087524100,pool_70,Two Harbors
103392396,102.4010062894800,pool_235,Pingora
103392396,102.3660587525300,pool_297,Two Harbors
103392396,102.3321812894810,pool_68,Pingora
103392396,102.3136812894810,pool_295,Pingora
103392396,102.2484837524100,pool_78,Two Harbors
103392396,102.2307822328770,pool_240,Retained
103392396,102.2266087524100,pool_86,Two Harbors
103392396,102.2129337525300,pool_305,Two Harbors
103392396,102.1938802328770,pool_13,Retained
103392396,102.1910587525300,pool_313,Two Harbors
103392396,102.1790562894810,pool_76,Pingora
103392396,102.1605562894810,pool_303,Pingora
103392396,102.1571812894810,pool_84,Pingora
103392396,102.1386812894810,pool_311,Pingora
103392396,102.1172337524100,pool_94,Two Harbors
103392396,102.0816837525300,pool_321,Two Harbors
103392396,102.0478062894810,pool_92,Pingora
103392396,102.0293062894810,pool_319,Pingora
103392396,101.8984837524100,pool_14,Two Harbors
103392396,101.8629337525300,pool_241,Two Harbors
103392396,101.8290562894810,pool_12,Pingora
103392396,101.8105562894810,pool_239,Pingora
103392505,105.0710287345890,pool_336,Retained
103392505,104.8522787345890,pool_296,Retained
103392505,104.6991537345890,pool_304,Retained
103392505,104.6772787345890,pool_312,Retained
103392505,104.5679037345890,pool_320,Retained
103392505,104.4875507674840,pool_335,Pingora
103392505,104.3491537345890,pool_240,Retained
103392505,104.2688007674840,pool_295,Pingora
103392505,104.1486611095890,pool_339,Retained
103392505,104.1156757674840,pool_303,Pingora
103392505,104.0938007674840,pool_311,Pingora
103392505,103.9844257674840,pool_319,Pingora
103392505,103.9299111095890,pool_299,Retained
103392505,103.8642861095890,pool_307,Retained
103392505,103.8642861095890,pool_315,Retained
103392505,103.7656757674840,pool_239,Pingora
103392505,103.7071382674840,pool_338,Pingora
103392505,103.6017861095890,pool_323,Retained
103392505,103.4883882674840,pool_298,Pingora
103392505,103.4227632674840,pool_306,Pingora
103392505,103.4227632674840,pool_314,Pingora
103392505,103.3830361095890,pool_328,Retained
103392505,103.1642861095890,pool_244,Retained
103392505,103.1602632674840,pool_322,Pingora
103392505,102.9415132674840,pool_327,Pingora
103392505,102.7227632674840,pool_243,Pingora
103392707,102.8709534091290,pool_10,Two Harbors
103392707,102.7478288660890,pool_11,Pingora
103392707,102.6034457643840,pool_9,Retained
103392707,102.4718814092820,pool_237,Two Harbors
103392707,102.4153288660890,pool_238,Pingora
103392707,102.1909142843840,pool_236,Retained
103392707,101.5834684091290,pool_14,Two Harbors
103392707,101.5026588660890,pool_15,Pingora
103392707,101.3287141643840,pool_13,Retained
103392707,101.3270588660890,pool_242,Pingora
103392707,101.3266684092820,pool_241,Two Harbors
103392707,101.0611191643840,pool_240,Retained
103392912,100.5876622184380,pool_234,Pingora
103392912,100.5409788056070,pool_233,Two Harbors
103392912,100.5130495205480,pool_232,Retained
103392912,100.4359122184380,pool_398,Pingora
103392912,100.3484122184380,pool_238,Pingora
103392912,100.3300538056070,pool_397,Two Harbors
103392912,100.3276445205480,pool_396,Retained
103392912,100.2425538056070,pool_237,Two Harbors
103392912,100.2401445205480,pool_236,Retained
103393449,102.5782007433310,pool_397,Two Harbors
103393449,102.4907007433310,pool_237,Two Harbors
103393449,102.4126065782260,pool_398,Pingora
103393449,102.3251065782260,pool_238,Pingora
103393449,102.2784142843840,pool_396,Retained
103393449,102.1909142843840,pool_236,Retained
103393449,101.6736127433310,pool_400,Two Harbors
103393449,101.5759415782260,pool_401,Pingora
103393449,101.3892441643840,pool_399,Retained
103393449,101.3454877433310,pool_241,Two Harbors
103393449,101.2478165782260,pool_242,Pingora
103393449,101.0611191643840,pool_240,Retained
103394752,102.5373687712330,pool_13,Retained
103394752,102.5143265888550,pool_14,Two Harbors
103394752,102.3447194643900,pool_15,Pingora
103394752,102.0780865890080,pool_241,Two Harbors
103394752,102.0666118712330,pool_240,Retained
103394752,101.9647194643900,pool_242,Pingora
103394752,101.6182336712330,pool_17,Retained
103394752,101.6065365888550,pool_18,Two Harbors
103394752,101.5209194643900,pool_19,Pingora
103394752,101.3071365890080,pool_245,Two Harbors
103394752,101.2952786712330,pool_244,Retained
103394752,101.2929194643900,pool_246,Pingora
103395621,103.2083698082190,pool_182,Retained
103395621,103.1206714168920,pool_183,Two Harbors
103395621,102.9502388082190,pool_413,Retained
103395621,102.8598253135050,pool_181,Pingora
103395621,102.8486214170240,pool_414,Two Harbors
103395621,102.6066753135050,pool_412,Pingora
103395621,102.2708698082190,pool_9,Retained
103395621,102.1831714168920,pool_10,Two Harbors
103395621,102.1064888082190,pool_236,Retained
103395621,102.1004948082190,pool_185,Retained
103395621,102.0127964168920,pool_186,Two Harbors
103395621,102.0048714170240,pool_237,Two Harbors
103395621,101.9223253135050,pool_8,Pingora
103395621,101.7629253135050,pool_235,Pingora
103395621,101.7519503135050,pool_184,Pingora
103395621,101.6101138082190,pool_416,Retained
103395621,101.5084964170240,pool_417,Two Harbors
103395621,101.2665503135050,pool_415,Pingora
103395621,100.9442448082190,pool_13,Retained
103395621,100.8565464168920,pool_14,Two Harbors
103395621,100.5957003135050,pool_12,Pingora
103395621,100.4538638082190,pool_240,Retained
103395621,100.3522464170240,pool_241,Two Harbors
103395621,100.1103003135050,pool_239,Pingora
103396625,102.7384204520550,pool_413,Retained
103396625,102.6199595567670,pool_414,Two Harbors
103396625,102.4030760489130,pool_412,Pingora
103396625,101.8946704520550,pool_236,Retained
103396625,101.8163454520550,pool_416,Retained
103396625,101.7762095567670,pool_237,Two Harbors
103396625,101.6978845567670,pool_417,Two Harbors
103396625,101.5593260489130,pool_235,Pingora
103396625,101.4810010489130,pool_415,Pingora
103396625,100.6600954520550,pool_240,Retained
103396625,100.5416345567670,pool_241,Two Harbors
103396625,100.3247510489130,pool_239,Pingora
103396690,100.0908526301370,pool_233,Two Harbors
103396690,99.9810276301370,pool_230,Two Harbors
103396690,99.9202296301370,pool_231,Pingora
103396690,99.8996066301370,pool_232,Retained
103396690,99.8104046301370,pool_228,Pingora
103396690,99.7897816301370,pool_229,Retained
103396931,102.2153538467140,pool_212,Pingora
103396931,102.1034457643840,pool_210,Retained
103396931,102.0150329363830,pool_211,Two Harbors
103396931,101.8828538467140,pool_443,Pingora
103396931,101.6909142843840,pool_441,Retained
103396931,101.6159609365350,pool_442,Two Harbors
103396931,101.5903538467140,pool_11,Pingora
103396931,101.4784457643840,pool_9,Retained
103396931,101.3900329363830,pool_10,Two Harbors
103396931,101.2578538467140,pool_238,Pingora
103396931,101.0659142843840,pool_236,Retained
103396931,100.9909609365350,pool_237,Two Harbors
103396931,100.9745038467140,pool_215,Pingora
103396931,100.8287141643840,pool_213,Retained
103396931,100.7989038467140,pool_446,Pingora
103396931,100.7275479363830,pool_214,Two Harbors
103396931,100.5611191643840,pool_444,Retained
103396931,100.4707479365350,pool_445,Two Harbors
103396931,100.3495038467140,pool_15,Pingora
103396931,100.2037141643840,pool_13,Retained
103396931,100.1739038467140,pool_242,Pingora
103396931,100.1025479363830,pool_14,Two Harbors
103396931,99.9361191643836,pool_240,Retained
103396931,99.8457479365354,pool_241,Two Harbors
103397099,103.3321694520550,pool_155,Retained
103397099,103.2618649677830,pool_156,Two Harbors
103397099,103.1524329706810,pool_157,Pingora
103397099,103.1352944520550,pool_9,Retained
103397099,103.0649899677830,pool_10,Two Harbors
103397099,102.9717714520550,pool_383,Retained
103397099,102.9555579706810,pool_11,Pingora
103397099,102.9110399679350,pool_384,Two Harbors
103397099,102.8842714520550,pool_396,Retained
103397099,102.8678079706810,pool_385,Pingora
103397099,102.8235399679350,pool_397,Two Harbors
103397099,102.7967714520550,pool_236,Retained
103397099,102.7803079706810,pool_398,Pingora
103397099,102.7360399679350,pool_237,Two Harbors
103397099,102.6928079706810,pool_238,Pingora
103397099,102.1584194520550,pool_158,Retained
103397099,102.0881149677830,pool_159,Two Harbors
103397099,102.0105579706810,pool_160,Pingora
103397099,101.8959194520550,pool_168,Retained
103397099,101.8506464520550,pool_386,Retained
103397099,101.8256149677830,pool_169,Two Harbors
103397099,101.7935579706810,pool_388,Pingora
103397099,101.7899149679350,pool_387,Two Harbors
103397099,101.7480579706810,pool_170,Pingora
103397099,101.6975214520550,pool_399,Retained
103397099,101.6771694520550,pool_13,Retained
103397099,101.6404329706810,pool_401,Pingora
103397099,101.6367899679350,pool_400,Two Harbors
103397099,101.6068649677830,pool_14,Two Harbors
103397099,101.5293079706810,pool_15,Pingora
103397099,101.3693964520550,pool_240,Retained
103397099,101.3123079706810,pool_242,Pingora
103397099,101.3086649679350,pool_241,Two Harbors
103397273,104.4107130053030,pool_165,Pingora
103397273,104.0825880053030,pool_175,Pingora
103397273,104.0283881780820,pool_164,Retained
103397273,103.7825880053030,pool_167,Pingora
103397273,103.7025880053030,pool_393,Pingora
103397273,103.7002631780820,pool_174,Retained
103397273,103.6513380053030,pool_177,Pingora
103397273,103.4482130053030,pool_22,Pingora
103397273,103.4182130053030,pool_406,Pingora
103397273,103.4030880053030,pool_395,Pingora
103397273,103.3865131780820,pool_166,Retained
103397273,103.3450880053030,pool_25,Pingora
103397273,103.2937130053030,pool_408,Pingora
103397273,103.2552631780820,pool_176,Retained
103397273,103.2222061780820,pool_392,Retained
103397273,103.0658881780820,pool_21,Retained
103397273,103.0244630053030,pool_249,Pingora
